Ā. L.	Ānandalaharī.
A. R.	Anargharāghava (Published in the Kāvyamālā).
A. Rām.	Adhyātma Rāmāyaṇa.
Abh. Chin.	Abhidhāna‑Chintāmaṇi‑Kośa.
Ait. Ār.	Aitareya Āraṇyaka.
Ait. Br.	Aitareya Brāhmaṇa, (Bombay).
Ait. Up.	Aitareya Upaniṣad.
Ak.	Amarkoṣa, (Bombay).
Aman. Up.	Amanasopaniṣad.
Amaru.	Amaruśataka, (Nirṇaya Sāgar, 1916).
Āpast.	Āpastamba.
Āry. S.	Āryavidyāsudhākara, (Bombay).
Āryā. S.	Āryāsaptasatī (Published in the Kāvyamālā).
Aśvad.	Aśvadhātī (Published in the Subhāṣitaratnākara).
Āśval.	Āśvalāyana’s Sūtras.
Av.	Atharava–Veda. (ed. by Pandit Satavalekar).
AVP.	Atharva Veda Prātiśākhya.
B. and R.	Bothlingk and Roth.
B. P.	Bhaviṣya Purāṇa.
B. R.	Bālarāmāyaṇa, (Benaras).
Baudhāy.	Baudhāyana.
Bg.	Bhagavadgītā (Tilak Edition).
Bh.	Bhartṛihari’s three śatakas (the figures 1. 2. 3. after Bh. denoting Śṛṅgāra°, Nīti°, and Vairāgya°). Nīti and Vairāgya -- Oriental Publishing Company (Bombay). Śṛṅgāra -- Nirṇaya Sāgara, 1925.
Bhāg.	Bhāgawata, (V. Ramaswamy Sastrulu & Sons, Madras).
Bhār. Ch.	Bhāratacampū, (Bombay).
Bhāṣā P.	Bhāṣāparichchheda.
Bhav. P.	Bhaviṣyottara Purāṇa.
Bhāva P.	Bhāvaprakāśa.
Bīj.	Bījagaṇita.
Bil. Ch.	Bilhaṇacharitam.
Bk.	Bhaṭṭikāvya, (Nirṇaya Sāgara, 1928).
Bm.	Bhāratamañjarī.
Bop.	Vopadeva.
Bṛ. Ār. Up.	Bṛhadāraṇyakopaniṣad, (सार्थ उपनिषत्संग्रह—ह. र. भागवत, १९१४).
Bṛ. Kath.	Bṛihatkathā.
Bṛ. S.	Varāhamihira’s Bṛhatsaṃhitā, (लक्ष्मीवेङ्कटेश्वर कल्याण‑मुंबई १८९७).
Br. Sūt.	Brahmasūtrās.
Bṛ. Up.	Bṛhadāraṇyakopaniṣad, (सार्थ उपनिषत्संग्रह—ह. र. भागवत, १९१४).
Brav. P.	Brahmavaivarta Purāṇa.
Bu. Ch.	Buddhacharitam, (A. C. Bhat & Co. 1911).
Buddh.	Buddhist literature.
Bv.	Bhāminīvilāsa, (D. V. Sādhale & Co. Bombay).
Ch. P.	Chaurapañchāśikā.
Ch. Up.	Chhāndogyopaniṣad, (सार्थ उपनिषत्संग्रह—ह. र. भागवत, १९१४)
Chāṇ.	Chāṇakyāśataka.
Chaṇḍ. K.	Chaṇḍakauśika.
Chand. M.	Chhandomañjarī.
Chandr.	Chandrāloka.
Chāt.	Chāṭakāṣṭaka (In two parts.)
Chola-Champū.	Edited by Dr. Raghavan.
CP.	Copper‑plates.
D. Bhāg.	Devībhāgavata.
D. R.	Daśarūpa (Hall’s edition).
Dāy.	Dāyabhāga.
Dāy. Bh.	Dāyabhāga.
Dhan. V.	Dhanan̄jayavijaya.
Dhanur.	Dhanurveda Saṁhitā, (श्रीवेंकटेश्वर प्रेस, शके १८२३).
Dharm.	Dharmaviveka.
Dharmabhyudaya Mahākāvya.	Edited by Dr. Raghavan.
Dhūrt.	Dhūrtasamāgama.
Dhyān. Up.	Dhyānabindu‑Upaniṣad.
Dk.	Daśakumāracharita, (Bombay).
Dṛ. Ś.	Dṛstāntaśataka.
EI.	Epigraphia Indica.
Enm.	Ekārthanāmamālā of Saubhari.
Ep. Ind.	Epigraphia Indica.
G. L.	Gaṅgalaharī.
G. M.	Gaṇaratnamahodadhi of Vardhamāna.
Gaut. S.	Gautamasūtra.
Gaut. Sūt.	Gautamasūtra.
Ghaṭ.	Ghaṭakarparakāvya.
GI.	Gupta Inscriptions by Fleet.
Gīrvāṇa.	गीर्वाण लघुकोश.
Gīt.	Gītagovinda.
Golādh.	Golādhyāya.
H.	Hitopadeśa, (आर्यभूषण प्रेस, पुणे, १९३३).
H. D.	Haṁsadūta.
H. Pr.	हितोपदेश-प्रस्ताविका.
Halāy.	Halāyudha.
Hariv.	Harivaṁśa, (चित्रशाळा, पुणे, १९३६).
Hch.	Harṣacharita.
Hem.	Hemachandra.
I B.	Inscriptions of Bengal, Vol. III by N. G. Mujumdar.
Inscr.	Inscriptions.
Īśop.	Īśopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
J. N. V.	Jaiminīyanyāyamalāvistara, (Goldstücker’s edition).
Jag.	Jagannātha Paṇḍit.
K.	Kādambarī, (Bombay).
K. P.	Kāvyaprakāśa.
K. R.	Kavi‑Rahasya.
Kām.	Kāmandakinītisāra.
