3	aMS	10	U.
20	aMh	1	Ā.
31	ak	1	P.
137	akz	1,5	P.
205	ag	1	P.
267	aG	10	U.
280	aNk	1,10	Ā.
302	aNK	10	P.
303	aNg	1	P.
303	aNg	10	P.
336	aNgIkf	8	U.
347	aNG	1	Ā.
353	ac	1	U.
393	aj	1	P.
474	aYc	1	U.
474	aYc	10	U.
478	aYj	7	P.
497	aYjihizA	1	P.
501	aw	1	P.
510	aww	1	Ā.
519	aW	1	U.
521	aq	1,5	P.
524	aqq	1	P.
527	aR	1	P.
527	aR	4	Ā.
538	aRUBU	1	P.
539	aRW	1	Ā.
545	at	1	P.
582	atikram	1,4	U.
593	atigam	1	P.
605	atigrah	9	P.
611	aticar	1	P.
625	atijIv	1	P.
631	atitF	1	P.
640	atidiS	6	P.
657	atipat	1	P.
665	atipad	4	Ā.
690	atiBU	1	P.
746	ativah	1	P.
758	ativft	1	Ā.
776	atiSI	2	Ā.
789	atizWA	1	P.
791	atisanDA	3	U.
799	atisf	1	P.
803	atisfj	6	P.
812	atI	2	P.
854	atyasta	4	P.
903	ad	2	P.
1011	aDarIkf	8	U.
1012	aDarIBU	1	P.
1036	aDikf	8	U.
1048	aDikram	1	U.
1051	aDikzip	6	P.
1053	aDigam	1	P.
1060	aDicar	1	P.
1076	aDinI	1	P.
1115	aDiruh	1	P.
1123	aDivac	2	P.
1127	aDivas	1	P.
1127	aDivas	2	Ā.
1131	aDivAs	10	P.
1138	aDivid	6	U.
1143	aDiSI	2	Ā.
1145	aDiSri	1	U.
1151	aDizWA	1	P.
1157	aDI	2	Ā.
1202	aDyavaso	4	P.
1211	aDyas	4	P.
1214	aDyAkram	1	U.
1220	aDyAruh	1	P.
1228	aDyAs	2	Ā.
1240	aDyUh	1	U.
1255	an	2	P.
1255	an	4	Ā.
1255	an	10,1	P.
1587	aniravasita	4	P.
1653	anukaT	10	P.
1656	anukamp	1	Ā.
1673	anukf	8	U.
1685	anukfz	1	P.
1689	anukxp	1	Ā.
1694	anukrand	1	P.
1696	anukram	1,4	U.
1699	anukruS	1	P.
1705	anuKyA	2	P.
1708	anugam	1	P.
1715	anugarj	1	P.
1727	anugE	1	P.
1731	anugrah	9	P.
1738	anucar	1	P.
1744	anucint	10	P.
1749	anujan	4	Ā.
1753	anujIv	1	P.
1756	anujYA	9	U.
1762	anutap	1	P.
1762	anutap	4	Ā.
1774	anutF	1	P.
1796	anudA	3	U.
1803	anudiS	6	P.
1806	anudfS	1	P.
1821	anudru	1	P.
1826	anuDAv	1	P.
1829	anuDyE	1	P.
1834	anunad	1	P.
1837	anunand	1	P.
1844	anunI	1	P.
1859	anupaW	1	P.
1862	anupat	1	P.
1866	anupad	4	Ā.
1904	anupA	2	P.
1904	anupA	2	P.
1907	anupA	2,10	P.
1934	anuprayuj	7	Ā.
1939	anupraviS	6	P.
1947	anuprAR	2	P.
1949	anuprAp	5	P.
1953	anuplu	1	Ā.
1955	anubanD	9	P.
1964	anubuD	4	Ā.
1974	anuBuj	7	Ā.
1976	anuBU	1	P.
1985	anuBf	1,3	P.
1988	anumad	1	P.
1991	anuman	4	Ā.
1996	anumantr	10	Ā.
2002	anumA	3,2	Ā.
2014	anumud	1	Ā.
2017	anumf	6	Ā.
2020	anuyA	2	P.
2028	anuyuj	7	Ā.
2038	anuraYj	4	U.
2057	anurud	2	P.
2059	anuruD	7	U.
2071	anulip	6	P.
2082	anuvac	2	P.
2092	anuvad	1	P.
2100	anuvas	1	P.
2106	anuvAs	10	P.
2109	anuvid	6	U.
2114	anuviDA	3	U.
2118	anuvinaS	4	P.
2120	anuviS	6	P.
2126	anuvft	1	Ā.
2137	anuvyaD	4	P.
2144	anuvraj	1	P.
2153	anuSAs	2	P.
2161	anuSI	2	Ā.
2169	anuSuc	1	P.
2173	anuSru	5	P.
2177	anuzaYj	1	P.
2187	anuzwuB	1	P.
2189	anuzWA	1	U.
2204	anusaMcar	1	P.
2206	anusaMtan	8	U.
2208	anusaMDA	3	U.
2213	anusami	2	P.
2217	anusaMsTA	1	P.
2227	anusf	1	P.
2236	anusfp	1	P.
2250	anusmf	1	P.
2257	anuhuNkf	8	U.
2259	anuhf	1	P.
2327	ant	1	P.
2345	antari	2	P.
2352	antargam	1	P.
2354	antarDA	3	U.
2360	antarBU	1	P.
2378	and	1	P.
2384	anD	10	U.
2390	anDIkf	8	U.
2448	anvAKyA	2	P.
2450	anvAgam	1	P.
2455	anvAdiS	6	P.
2467	anvAraB	1	Ā.
2472	anvAruh	1	P.
2475	anvAs	2	Ā.
2482	anvi	2	P.
2489	anviz	6	P.
2489	anviz	4	P.
2493	anvIkz	1	Ā.
2506	apakf	8	U.
2515	apakfz	1,6	P.
2520	apakF	6	P.
2526	apakram	1	P.
2532	apakzi	1,5,9	P.
2536	apakzip	6	P.
2539	apagam	1	P.
2549	apagur	6	Ā.
2551	apaguh	1	U.
2558	apacar	1	P.
2562	apacAy	1	Ā.
2565	apaci	3	P.
2565	apaci	5	U.
2574	apacyu	1	Ā.
2579	apaji	1	P.
2581	apajYA	9	Ā.
2598	apatfp	10	P.
2602	apatrap	1	Ā.
2617	apadiS	6	P.
2628	apaDAv	1	P.
2631	apaDyE	1	P.
2633	apaDvaMs	1	Ā.
2641	apanI	1	P.
2645	apanud	6	P.
2664	apaBAz	1	Ā.
2666	apaBU	1	P.
2668	apaBraMS	1	Ā.
2682	apamfj	2,10	P.
2687	apayA	2	P.
2707	aparAD	4,5	P.
2761	apalap	1	P.
2773	apavad	1	U.
2781	apavah	1	P.
2792	apavf	5	U.
2792	apavf	10	P.
2799	apavfj	7	Ā.
2805	apavft	1	Ā.
2811	apavyaD	4	P.
2850	apasf	1	P.
2856	apasfj	6	P.
2858	apasfp	1	P.
2883	apahan	2	P.
2888	apahas	1	P.
2893	apahA	3	P.
2897	apahf	1	P.
2904	apahnu	2	Ā.
2909	apAkf	8	U.
2929	apAdA	3	Ā.
2933	apAn	2	P.
2951	apAvf	5	P.
2954	apAvft	1	Ā.
2958	apASri	1	U.
2963	apAs	4	P.
2970	apAhA	3	P.
2983	apiDA	3	U.
2996	apI	2	P.
3038	ape	2	P.
3042	apekz	1	Ā.
3053	apoh	1	U.
3310	aBikam	10	Ā.
3313	aBikamp	1	Ā.
3316	aBikANkz	1	U.
3319	aBikf	8	U.
3324	aBikrand	1	P.
3326	aBikram	1,4	U.
3330	aBikruS	1	P.
3335	aBikzip	6	P.
3337	aBiKyA	2	P.
3342	aBigam	1	P.
3348	aBigarj	1	P.
3352	aBigup	10	P.
3355	aBigur	6	U.
3359	aBigF	9	U.
3361	aBigE	1	P.
3364	aBigrah	9	U.
3373	aBiGrA	1	P.
3375	aBicakz	2	Ā.
3377	aBicar	1	P.
3385	aBijan	4	Ā.
3393	aBiji	1	P.
3398	aBijuz	6	Ā.
3400	aBijYA	9	U.
3408	aBitaq	10	P.
3410	aBitap	1	P.
3416	aBitfp	10	P.
3421	aBidfS	1	P.
3425	aBidru	1	P.
3428	aBidruh	4	P.
3434	aBiDA	3	U.
3442	aBiDAv	1	P.
3446	aBiDyE	1,2	P.
3449	aBinand	1	P.
3455	aBinam	1	P.
3458	aBinah	4	P.
3468	aBiniviS	6	Ā.
3476	aBinizpat	1	P.
3478	aBinizpad	4	Ā.
3482	aBinI	1	P.
3491	aBipat	1	P.
3491	aBipat	4	Ā.
3493	aBipad	4	Ā.
3502	aBipUj	10	P.
3505	aBipF	3,9	P.
3509	aBipraRI	1	P.
3517	aBipravft	1	Ā.
3524	aBipre	2	P.
3528	aBiplu	4	Ā.
3535	aBiBA	2	P.
3538	aBiBAz	1	Ā.
3541	aBiBU	1	P.
3550	aBimad	4	P.
3553	aBiman	4	Ā.
3553	aBiman	8	Ā.
3564	aBimantr	10	Ā.
3582	aBimfS	6	P.
3589	aBiyA	2	P.
3594	aBiyAc	1	Ā.
3596	aBiyuj	7	Ā.
3605	aBirakz	1	P.
3611	aBiram	1	Ā.
3622	aBiruc	1	Ā.
3632	aBilaNG	1,10	P.
3634	aBilap	1	P.
3637	aBilaz	1,4	P.
3644	aBilI	4	Ā.
3649	aBivad	1	U.
3656	aBivand	1	Ā.
3668	aBivinI	1	U.
3672	aBivIkz	1	Ā.
3675	aBivft	1	Ā.
3679	aBivfD	1	Ā.
3681	aBivfz	1	P.
