Lnum	basehw	suffix	resolution	in_sanhw1
3017.020	apuzpaPala	laH	apuzpaPalaH	True
3017.020	apuzpaPala	daH	None	False
3025.020	apUrRakAla	laH	apUrRakAlaH	True
3138.020	apratihatanetra	traH	apratihatanetraH	True
3206.020	aprAptakAla	lam	aprAptakAlam	True
3229.006	apsuja	jAH	apsujAH	True
3253.020	abudDipUrva	rvam	abudDipUrvam	True
3253.020	abudDipUrva	rvakam	None	False
3259.044	abjavAhanaH	nA	abjavAhanA	False
3269.026	abDija	jaH	abDijaH	True
3269.028	abDijam	jO	abDijO	True
3269.028	abDijam	jA	abDijA	True
3290.028	aBayada	daH	aBayadaH	True
3592	aBiyAtiH	yI	None	False
3592	aBiyAtiH	tA	aBiyAtiHtA	False
3934.024	aByantarakaraRa	nam	None	False
4096.044	aBrapuzpaH	zpam	aBrapuzpam	True
4096.060	aBravarza	rzaH	aBravarzaH	True
4189.024	amitABa	BaH	amitABaH	True
4218.020	amuzyakula	lam	amuzyakulam	True
4229.058	amftotpannA	nnam	amftotpannnam	False
4229.060	amftopastaraRam	vaH	None	False
4229.074	amftagarBa	rBaH	amftagarBaH	True
4229.078	amftaja	jaH	amftajaH	True
4229.086	amftadrava	vaH	amftadravaH	True
4229.088	amftaDAra	rA	amftaDArA	True
4229.098	amftaPalaH	lA	amftaPalA	True
4229.098	amftaPalaH	lam	amftaPalam	True
4229.122	amftarasaH	sA	amftarasA	True
4229.132	amftasAra	raH	amftasAraH	True
4229.140	amftasravaH	vA	amftasravA	True
4275.050	ambuja	jaH	ambujaH	True
4275.050	ambuja	jam	ambujam	True
4275.058	ambuda	daH	ambudaH	True
4275.076	ambupa	paH	ambupaH	True
4275.092	ambumAtraja	jaH	ambumAtrajaH	True
4275.102	amburuhaH	hA	amburuhA	True
4275.116	ambuvAhin	nI	ambuvAhinI	True
4282.020	amBoja	jaH	amBojaH	True
4282.020	amBoja	jam	amBojam	True
4282.020	amBoja	jA	amBojA	False
4289.054	amlaputraH	trI	amlaputrI	False
4289.062	amlaPalaH	lam	amlaPalam	True
4289.068	amlarasa	saH	amlarasaH	True
4289.092	amlaSAkaH	kam	amlaSAkam	True
4289.094	amlasAraH	ram	amlasAram	True
4313.026	ayaTocita	tam	ayaTocitam	True
4313.028	ayaTAtaTa	Tam	ayaTAtaTam	True
4323	ayas	yaH	None	False
4323.056	ayojAla	lam	ayojAlam	True
4323.080	ayomuKa	KaH	ayomuKaH	True
4331.022	ayAtayAma	mam	ayAtayAmam	True
4371.020	ayonija	jaH	ayonijaH	True
4371.020	ayonija	jA	ayonijA	True
4381	arajas	jAH	None	False
4388.090	araRyavAsin	nI	araRyavAsinI	True
4394.020	aratatrapa	pa	aratatrapa	True
4418	araram	raH	araraH	True
4418	araram	rI	ararI	False
4465.028	arizwatAti	tiH	arizwatAtiH	True
4478.030	aruRAtmajaH	jA	aruRAtmajA	True
4478.034	aruRodakam	kA	aruRodakA	False
4478.052	aruRapriya	yA	aruRapriyA	True
4478.060	aruRalocana	naH	aruRalocanaH	True
4490	arus	ruH	None	False
4490.020	aruzkara	raH	aruzkaraH	True
4490.020	aruzkara	ram	aruzkaram	True
4516.046	arkajaH	jO	arkajO	True
4516.048	arkatanayaH	yA	arkatanayA	True
4516.066	arkanayana	naH	arkanayanaH	True
4516.070	arkapatraH	trA	arkapatrA	True
4516.070	arkapatraH	tram	arkapatram	True
4516.070	arkapatraH	rRam	None	False
4516.078	arkapuzpAdyam	zpI	None	False
4544	arcin	rcI	None	False
4548	arjaka	rjikA	arjikA	True
4555.022	arRavodBavaH	vA	arRavodBavA	True
