Lnum	basehw	suffix	resolution
3592	aBiyAtiH	yI	None
3592	aBiyAtiH	tA	aBiyAtiHtA
3934.024	aByantarakaraRa	nam	None
4096.044	aBrapuzpaH	zpam	aBrapuzpam
4096.060	aBravarza	rzaH	aBravarzaH
4189.024	amitABa	BaH	amitABaH
4218.020	amuzyakula	lam	amuzyakulam
4229.058	amftotpannA	nnam	amftotpannnam
4229.060	amftopastaraRam	vaH	None
4229.074	amftagarBa	rBaH	amftagarBaH
4229.078	amftaja	jaH	amftajaH
4229.086	amftadrava	vaH	amftadravaH
4229.088	amftaDAra	rA	amftaDArA
4229.098	amftaPalaH	lA	amftaPalA
4229.098	amftaPalaH	lam	amftaPalam
4229.122	amftarasaH	sA	amftarasA
4229.132	amftasAra	raH	amftasAraH
4229.140	amftasravaH	vA	amftasravA
4275.050	ambuja	jaH	ambujaH
4275.050	ambuja	jam	ambujam
4275.058	ambuda	daH	ambudaH
4275.076	ambupa	paH	ambupaH
4275.092	ambumAtraja	jaH	ambumAtrajaH
4275.102	amburuhaH	hA	amburuhA
4275.116	ambuvAhin	nI	ambuvAhinI
4282.020	amBoja	jaH	amBojaH
4282.020	amBoja	jam	amBojam
4282.020	amBoja	jA	amBojA
4289.054	amlaputraH	trI	amlaputrI
4289.062	amlaPalaH	lam	amlaPalam
4289.068	amlarasa	saH	amlarasaH
4289.092	amlaSAkaH	kam	amlaSAkam
4289.094	amlasAraH	ram	amlasAram
4313.026	ayaTocita	tam	ayaTocitam
4313.028	ayaTAtaTa	Tam	ayaTAtaTam
4323	ayas	yaH	None
4323.056	ayojAla	lam	ayojAlam
4323.080	ayomuKa	KaH	ayomuKaH
4331.022	ayAtayAma	mam	ayAtayAmam
4371.020	ayonija	jaH	ayonijaH
4371.020	ayonija	jA	ayonijA
4381	arajas	jAH	None
4388.090	araRyavAsin	nI	araRyavAsinI
4394.020	aratatrapa	pa	aratatrapa
4418	araram	raH	araraH
4418	araram	rI	ararI
4465.028	arizwatAti	tiH	arizwatAtiH
4478.030	aruRAtmajaH	jA	aruRAtmajA
4478.034	aruRodakam	kA	aruRodakA
4478.052	aruRapriya	yA	aruRapriyA
4478.060	aruRalocana	naH	aruRalocanaH
4490	arus	ruH	None
4490.020	aruzkara	raH	aruzkaraH
4490.020	aruzkara	ram	aruzkaram
4516.046	arkajaH	jO	arkajO
4516.048	arkatanayaH	yA	arkatanayA
4516.066	arkanayana	naH	arkanayanaH
4516.070	arkapatraH	trA	arkapatrA
4516.070	arkapatraH	tram	arkapatram
4516.070	arkapatraH	rRam	None
4516.078	arkapuzpAdyam	zpI	None
4544	arcin	rcI	None
4548	arjaka	rjikA	arjikA
4555.022	arRavodBavaH	vA	arRavodBavA
4555.022	arRavodBavaH	vam	arRavodBavam
4555.024	arRavaja	jam	arRavajam
4555.024	arRavaja	jaH	arRavajaH
4564.100	arTajAta	tam	arTajAtam
4564.104	arTatattvam	daH	None
4567	arTavat	vAn	None
4582.034	arDAvaBedakaH	kam	arDAvaBedakam
4582.058	arDoruka	kam	arDorukam
4582.088	arDacandra	ndraH	arDacandraH
4582.088	arDacandra	drA	arDacandrA
4582.094	arDacandrakam	raH	None
4582.094	arDacandrakam	ti	None
4582.146	arDapaTam	paTe	arDapaTe
4582.234	arDasama	mam	arDasamam
4613.030	arvAgvasu	suH	arvAgvasuH
4620.020	arSoGna	GnaH	arSoGnaH
4620.020	arSoGna	GnI	arSoGnI
4620.024	arSohita	taH	arSohitaH
4662.046	alampuruzIRa	RaH	alampuruzIRaH
4698.032	alipriya	yaH	alipriyaH
4698.032	alipriya	yA	alipriyA
4742.028	alpAyus	yuH	None
4742.032	alpAhAra	raH	alpAhAraH
4742.054	alpaganDa	nDam	alpaganDam
4742.064	alpatanu	nuH	alpatanuH
4742.090	alpapramARa	RaH	alpapramARaH
4742.090	alpapramARa	RakaH	None
4742.096	alpaprARa	RaH	alpaprARaH
4742.118	alpamUrti	rtiH	alpamUrtiH
4792	avakIrRin	rRI	None
5146.020	avamUrDaSaya	yaH	avamUrDaSayaH
5160	avayAj	yAH	None
5160	avayAj	yAjO	None
