¦  (\u00a6) 36688 := BROKEN BAR
§  (\u00a7)     1 := SECTION SIGN
°  (\u00b0)     3 := DEGREE SIGN
²  (\u00b2) 91497 := SUPERSCRIPT TWO
³  (\u00b3)  1187 := SUPERSCRIPT THREE
¹  (\u00b9)    15 := SUPERSCRIPT ONE
¼  (\u00bc)     6 := VULGAR FRACTION ONE QUARTER
½  (\u00bd)    11 := VULGAR FRACTION ONE HALF
¾  (\u00be)     1 := VULGAR FRACTION THREE QUARTERS
×  (\u00d7)     2 := MULTIPLICATION SIGN
ñ  (\u00f1)   269 := LATIN SMALL LETTER N WITH TILDE
Ā  (\u0100)  1440 := LATIN CAPITAL LETTER A WITH MACRON
ā  (\u0101) 16707 := LATIN SMALL LETTER A WITH MACRON
Ī  (\u012a)    27 := LATIN CAPITAL LETTER I WITH MACRON
ī  (\u012b)  2129 := LATIN SMALL LETTER I WITH MACRON
Ś  (\u015a)  8965 := LATIN CAPITAL LETTER S WITH ACUTE
ś  (\u015b)  1466 := LATIN SMALL LETTER S WITH ACUTE
Ū  (\u016a)     4 := LATIN CAPITAL LETTER U WITH MACRON
ū  (\u016b)   662 := LATIN SMALL LETTER U WITH MACRON
ʼ  (\u02bc)  2067 := MODIFIER LETTER APOSTROPHE
˚  (\u02da)  5121 := RING ABOVE
ं  (\u0902)     3 := DEVANAGARI SIGN ANUSVARA
ः  (\u0903)     2 := DEVANAGARI SIGN VISARGA
अ  (\u0905)     4 := DEVANAGARI LETTER A
उ  (\u0909)     1 := DEVANAGARI LETTER U
क  (\u0915)    21 := DEVANAGARI LETTER KA
ख  (\u0916)     4 := DEVANAGARI LETTER KHA
ग  (\u0917)     6 := DEVANAGARI LETTER GA
ङ  (\u0919)     2 := DEVANAGARI LETTER NGA
च  (\u091a)    13 := DEVANAGARI LETTER CA
ज  (\u091c)    10 := DEVANAGARI LETTER JA
ञ  (\u091e)     2 := DEVANAGARI LETTER NYA
ट  (\u091f)     3 := DEVANAGARI LETTER TTA
ठ  (\u0920)     3 := DEVANAGARI LETTER TTHA
ड  (\u0921)     4 := DEVANAGARI LETTER DDA
ण  (\u0923)    18 := DEVANAGARI LETTER NNA
त  (\u0924)    55 := DEVANAGARI LETTER TA
थ  (\u0925)     1 := DEVANAGARI LETTER THA
द  (\u0926)    27 := DEVANAGARI LETTER DA
ध  (\u0927)     4 := DEVANAGARI LETTER DHA
न  (\u0928)    23 := DEVANAGARI LETTER NA
प  (\u092a)    23 := DEVANAGARI LETTER PA
ब  (\u092c)     4 := DEVANAGARI LETTER BA
भ  (\u092d)     9 := DEVANAGARI LETTER BHA
