A. L.	Ānandalaharī.
Muṇḍa.	Muṇḍakopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Mv.	Mahāvīracharita, (Nirṇaya Sāgara, 1926).
Mādh. N.	Mādhavanidāna.
Māl.	Mālatīmādhava (Oriental Publishing Co. Bombay, 1913).
Māna.	Mānasāra, (ed. by Acharya).
Mārk. P.	Mārkaṇḍeya Purāṇa.
Mātaṅga.	Mātaṅgalīlā of Nīlakaṇṭha.
Māṇḍ.	Māṇḍūkyopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Mīm.	Mīmāmsā.
N.	Naiṣadhacharita, (Nirṇaya Sāgara, 1933).
Naigh.	Naighaṇṭuka by Yāska.
Nala.	Nalopākhyāna, (Bombay).
Nalod.	Nalodaya.
Nigh. Ratn.	Nighaṇṭa-Ratnākara.
Nir.	Nirukta.
Nm.	Nānārthamañjarī of Rāghava.
Nāg.	Nāgānanda.
Nīti.	Nītisāra.
Nītipra.	Nītipradīpa.
Nṛ. P. Up.	Nṛsiṃhapūrvatāpinyupaniṣad.
P.	Pāṇiniʼs Aṣṭādhyāyī.
P. P.	Pārvatīpariṇaya.
P. R.	Prasannarāghava.
PS.	Pāṇinīya Sūtra.
Panch.	Pañcharātra.
Pari. Śekh.	Paribhāṣeṇḍūśekhara.
Parṇāl.	Parṇālaparvatagrahaṇākhyāna.
Pb.	Paribhāṣā.
Pbh.	Paribhāṣeṇḍūśekhara.
Prab.	Prabodhachandrodaya, (Bombay).
Pradīp.	Mahābhāsya-Pradīpa (Kaiyaṭa).
Pratijñā.	Pratijñā Yaugandharāyaṇa.
Praśna Up.	Praśnopaniṣad, (सार्थ उपनिषत्संग्रह, ह. र. भागवत, १९१४).
Priy. D.	Priyadarśikā.
Pt.	Pañchatantra. Chap, I, IV, V, (आर्यभूषण प्रेस, पुणें  १८९३); Chap. II and III, (Oriental Publishing Company, Bombay, 1912).
Pur. Pv.	Puruṣottama-Paribhāṣāvṛitti.
Pād. D.	Pādaṅkadūta.
Pś.	Pāṇinīya Śikṣā.
R.	Raghuvamśa, (R. A. Sagoon, Bombay 1897).
R. G.	Rasagaṅgādhara, (Prof. R. B. Athavale).
Ras. M.	Rasamañjarī.
Ratn.	Ratnāvalī, (Padhye, Yande, Manerikar & Co. Bombay, 1907).
Rāj. P.	Rājapraśasti.
Rāj. T.	Rājataraṅgiṇī.
Rām.	Rāmāyaṇa, (Nirṇaya Sāgara, 1888).
Rām. ch.	Rāmacharitain by Yuvarāja Kavi.
S. D.	Sāhityadarpaṇa.
S. L.	Sudhālaharī (Published in the Kavyamālā).
Sar. K.	Sarasvatīkaṇṭhābharaṇa.
Sar. S.	Sarvadarśanasaṃgraha.
Sarva. S.	Sarvadarśanasaṃgraha.
Sid. Mukt.	Siddhāntamuktāvali.
Sid. Mukta.	Siddhāntamuktāvali.
Sinhās.	Sinhāsana-dvātrinśikā.
Sk.	Siddhānta-Kaumudī.
Skanda P.	Skanda Purāṇa.
Subh.	Subhāṣitaratnākara, (Bombay).
Subh. Ratn.	Subhāṣitaratnabhāṇdāgāra, (Bombay).
Subhāṣ.	Subhāṣita.
Suśr.	Suśruta.
Sv.	Sāmaveda.
Svapna.	Svapnavāsavadatta.
Sān. K.	Sānkhyakārikā.
Sān. S.	Sānkhyasūtra.
Sānkhya. K.	Sānkhyakārikā.
Sāy.	Sāyaṇa.
Sīr. Pv.	Sīrdevaʼs Paribhāsāvṛtti.
Sūkti.	Sūktisundara.
Sūrya S.	Sūryasiddhānta.
T. Br.	Taittirīya Brāhmaṇa.
T. S.	Tarkasaṃgraha, (Bombay).
T. UP.	Taittirīya Upaniṣad.
T. Ār.	Taittirīya Āraṇyaka.
Taitt. Sam.	Taittirīya Samhitā.
Tarka. K.	Tarkakaumudī, (Bombay).
Tp.	Taittirīya Prātiśākhya.
Trik.	Trikāṇḍaśeṣa.
Ts.	Taittirīya Samhitā.
Tv.	Tārānāthaʼs Vāchaspatyam.
U.	Uttararāmacharita, (P. V. Kane, Bombay, 1915).
Ud. D.	Uddhavadūta.
Ud. S.	Uddhavasandeśa.
Udb.	Udbhaṭa.
Ujjval.	Ujjvaladatta.
Up.	Upaniṣad.
Uṇ.	Uṇādisūtras (N. B. New references from the letter प in this edition are taken from the work edited by T. R. Chintamani, University of Madras Publication, 1933.)
Uṇ.	Uṇādisūtras.
V.	Vikramorvaśīyam, (R. D. Karmarkar, 1932).
V. May.	Vyavahāramayūkha, (Mr. Mandalikʼs Edition).
V. P.	Viṣṇu Purāṇa.
V. Ratna.	Vṛttaratnākara.
V. Sah.	Viṣṇusahasranāma.
Vagb.	Vāgbhaṭa.
Vai. Bhū. (वै˚ भू˚).	Vaiyākaraṇabhūṣaṇasāra.
Vaiś.	Vaiśeṣika.
Vaiś. Sūt.	Vaiśeṣikasūtras.
Vall. Subh.	Vallabhadevaʼs Subhāṣitāvali, (Bombay).
Vb.	Viddhaśalabhañjikā, (Bombay).
Vbh.	Vaidikābharaṇa (a commentary on तै˚ प्रातिशाख्य).
Ve.	Venīsaṃhāra, (A. B. Gajendragadkar. 1941).
Vedānta P.	Vedāntaparibhāṣā.
Vet.	Vetālapañchavimsati.
Vid.	Vidagdhamukhamaṇḍana.
Vikr.	Vikramāṅkadevacharita, (Bombay).
Viś. Guṇa.	Viśvaguṇādarśachampū, (Nirṇaya Sāgara, 1915).
Vop.	Vopadeva.
Vp.	Vājasaneyi Prātiśākhya.
Vāj.	Vājasaneyi Samhitā, (मनोहर ग्रंथमाला, पुणें , १९४२).
