Lnum	basehw	suffix	resolution
18	aMsala	puruzaprayatnaduScalaM	None
68	akARqa	pracaRqakalahayoH	None
79	akAla	vAtAvalI	None
79.020	akAlakusumam	kusumAnIva	None
112.024	akfzwarohin	pacya	None
138.032	akzAvApaH	ativApaH	akzAvApAtivApaH
138.044	akzakovida	vid	None
138.044	akzakovida	vettf	None
138.090	akzapAwaH	vAwaH	None
138.100	akzaBAgaH	aMSaH	akzaBAgAMSaH
138.108	akzamAlA	mAlAmupayAcitumAgato'smi	None
161	akzi	kzI	None
199	aKila	lena	None
202	aKedin	tvam	aKedintvam
203	aKKala	lIkf	None
204	aKyAtiH	kara	None
209	agaRya	paRyavistAritamaRi	None
226.022	agADasattva	jYAnam	None
226.022	agADasattva	budDiH	None
227	agAram	dAhin	None
233	agUQa	sadBAvam	None
234	agfBIta	Socis	None
243	agniH	vizRU	None
243	agniH	marutO	None
243.036	agnyADAnam	Ahiti	agnyADAnAhiti
243.039	agnyADeyam	ADAnam	agnyADeyADAnam
243.058	agnikarman	kArya	None
243.112	agnijam	janman	None
243.126	agnida	dAyaka	None
243.126	agnida	dAyin	None
243.154	agninayanam	praRayanam	None
243.290	agniSaraRam	mArgamAdeSaya	None
243.308	agnizwut	stut	None
243.308	agnizwut	stuB	None
243.342	agnistuB	zwuB	None
243.344	agnistomaH	zwomaH	None
243.350	agnisvAttaH	svAtta	None
243.356	agnihotram	tramupAsate	None
243.357	agnihotra	nyAyaH	None
248	agnisAt	BU	None
251	agnIzomaH	praRayanam	None
252	agnIzomIya	nirvApaH	None
255	agra	mahizI	None
255.004	agram	BUmi	None
255.054	agrajA	jAta	None
255.054	agrajA	jAtaka	None
255.054	agrajA	jAti	None
255.066	agradUtaH	dUtikA	None
255.074	agraRIH	RIrvirAgahetuH	None
255.080	agrapAdaH	sTitA	None
255.082	agrapARiH	hastaH	None
255.084	agrapUjA	jAmiha	None
255.100	agraBUH	ja	None
255.114	agrayoDin	vIra	None
255.138	agrahasta	kara	None
260.027	agrediDizUH	patiH	None
261	agrya	mahizI	None
268.002	aGam	marzaRa	None
268.028	aGaGnaH	nASana	None
274	aGarma	aMSu	aGarmAMSu
274	aGarma	DAman	None
281.036	aNkaparivartaH	parivartin	None
305.022	aNgADipaH	rAjaH	None
305.022	aNgADipaH	patiH	None
305.022	aNgADipaH	ISvaraH	aNgADipeSvaraH
305.022	aNgADipaH	aDISvaraH	aNgADipADISvaraH
305.034	aNgaja	jaM	None
305.058	aNgamardaH	mardakA	None
305.060	aNgamarzaH	praSamanam	None
305.122	aNgahAniH	vEguRyam	None
314	aNganam	BuvaH	None
341.042	aNgulisaNgA	gA	aNgulisaNgA
344.020	aNguzWamAtra	traM	None
355	acakzus	vizaya	None
360.035	acalatviz	w	None
360.040	acalapatiH	aDipaH	None
360.040	acalapatiH	SrezwaH	None
367	acintita	upanatam	acintitopanatam
369	acira	dyuti	None
369	acira	BAs	None
369	acira	praBA	None
371	acetana	naM	None
379	acCa	sPawikaviSadam	None
379.002	acCaH	Balla	None
380	acCa	i	acCe
381	acCAvAkaH	sAman	None
385	acCidra	Uti	acCidroti
385.002	acCidram	dreRa	None
386	acCinna	SivasaMkalpamantaHkaraRamastu	None
392	acyuta	kzit	None
396.002	ajanaH	yonijaH	None
419.002	ajaraH	rA	None
425	ajasra	dIkzAprayatasya	None
428	ajahalliNgam	RA	None
432	ajAta	kakud	None
432	ajAta	pakza	None
445	ajihma	gAmiBiH	None
465	ajYAta	Bukta	None
467.002	ajYAnam	Acarita	ajYAnAcarita
467.002	ajYAnam	uccArita	ajYAnoccArita
469	ajYeya	vAdaH	None
471	ajyezWa	vftti	None
475	aYcita	ucita	aYcitocita
487	aYjaliH	li	None
528	aRaka	kulAlaH	None
550	ataTA	ucita	None
560	atarkita	gamanena	None
565	atasaH	saM	None
569	ati	kfSa	None
584	atikrAnta	kunfpati	None
617	aticCatraH	traH	aticCatraH
628	atitarAm	suduHsahaH	None
643	atidUra	re	None
643	atidUra	rAt	None
643	atidUra	reRa	None
671	atiparokza	vftti	None
674	atiprabanDaH	prahitAstravfzwiBiH	None
702	atimAtra	BAsvaratvam	None
707.002	atimuktaH	ktakaH	None
775	atiSastra	naKanyAsaH	None
777	atiSayaH	ramaRIyaH	None
780	atiSayita	surAsurapraBAvam	None
789.002	atizWA	vat	None
789.002	atizWA	-van	None
813	atIta	anAgatavartamAnavedinA	atItAnAgatavartamAnavedinA
818	atIndriya	jYAnaniDiH	None
819	atIva	pIqita	None
819	atIva	hfzwa	None
822	atula	parAkrama	None
822	atula	rUpa	None
845	atyanta	vEram	None
845.002	atyantam	gatA	None
851	atyarTa	tApAt	None
851.002	atyarTam	vedanaH	None
877.024	atraBavat	BavatI	None
889.024	aTApi	ca	None
896.002	aTarvA	vedaH	None
919	adabDa	asu	adabDAsu
920	adaBra	aBranirGoza	adaBrABranirGoza
948	adurga	vizayaH	None
952	adUzita	DI	None
953	adfpta	kratu	None
956	adfzwa	pUrva	None
971	adDA	kf	None
973	adButa	karman	None
973.002	adButam	udBrAntadevAsurARi	adButodBrAntadevAsurARi
973.032	adButasaMkASa	upama	adButasaMkASopama
978	adya	rAtrO	None
979	adyatana	divasa	None
979	adyatana	kAla	None
979.004	adyatanI	BUtaH	None
986.056	adripatiH	ISa	None
986.070	adriSayyaH	ISa	adriSayyeSa
986.070	adriSayyaH	indra	adriSayyendra
986.076	adrisuta	zuta	None
986.078	adrisAraH	maya	None
990	adroGa	vAc	None
1010	aDara	vAsaH	None
1010.002	aDaraH	patram	None
1018	aDarmaH	daRqanam	None
1022	aDas	aNkuSaH	None
1022.036	aDaHkaraRam	kriyA	None
1022.040	aDogatiH	ti	None
1022.062	aDaHpAtaH	gati	None
1022.070	aDoBAgaH	vyavasTitaM	None
1029	aDastAt	tAdAgataH	None
1033	aDi	sTA	None
1034	aDika	catvAriMSAH	None
1034.002	aDikam	suraBi	None
1034.024	aDikArTa	vacanam	None
1054	aDigata	paramArTAnpaRqitAnmAvamaMsTAH	None
1117	aDirUQa	samADiyogaH	None
1152	aDizWita	puroBAgAm	None
1159	aDItiH	boDAcaraRapracAraREH	None
1165	aDyApakaH	uditaH	aDyApakoditaH
1174	aDIra	viprekzitamAyatAkzyAH	None
1200	aDyarDa	yojanaSatAt	None
1217.006	aDyAtman	cetasA	None
