BaseL	AssignedL
4478.XYZ	4478.006
4478.XYZ	4478.008
4487.XYZ	4487.002
4487.XYZ	4487.004
4495.XYZ	4495.002
4501.XYZ	4501.002
4505.XYZ	4505.002
4509.XYZ	4509.002
4516.XYZ	4516.002
4526.XYZ	4526.002
4528.XYZ	4528.002
4532.XYZ	4532.002
4535.XYZ	4535.002
4535.XYZ	4535.004
Lbody:4535.XYZ	Lbody:4535.002
4546.XYZ	4546.002
4548.XYZ	4548.002
4551.XYZ	4551.002
4551.XYZ	4551.004
4551.XYZ	4551.006
4551.XYZ	4551.008
4552.XYZ	4552.002
4554.XYZ	4554.002
4554.XYZ	4554.004
4554.XYZ	4554.006
4555.XYZ	4555.002
4559.XYZ	4559.002
4569.XYZ	4569.002
4572.XYZ	4572.002
4576.XYZ	4576.002
4578.XYZ	4578.002
4578.XYZ	4578.004
4578.XYZ	4578.006
4578.XYZ	4578.008
Lbody:4578.XYZ	Lbody:4578.006
4582.XYZ	4582.004
4582.XYZ	4582.006
4582.XYZ	4582.008
Lbody:4582.XYZ	Lbody:4582.006
4585.XYZ	4585.002
4594.XYZ	4594.006
4597.XYZ	4597.002
4598.XYZ	4598.002
4601.XYZ	4601.002
4604.XYZ	4604.002
4604.XYZ	4604.004
4604.XYZ	4604.006
4611.XYZ	4611.002
4613.XYZ	4613.002
4615.XYZ	4615.002
4619.XYZ	4619.002
4623.XYZ	4623.002
4624.XYZ	4624.002
4624.XYZ	4624.004
4626.XYZ	4626.002
4626.XYZ	4626.004
4630.XYZ	4630.002
4631.XYZ	4631.002
4637.XYZ	4637.002
4640.XYZ	4640.002
4645.XYZ	4645.002
4656.XYZ	4656.002
4665.XYZ	4665.002
4672.XYZ	4672.002
4673.XYZ	4673.002
4675.XYZ	4675.002
4682.XYZ	4682.002
4682.XYZ	4682.004
4683.XYZ	4683.002
4690.XYZ	4690.002
4691.XYZ	4691.004
4693.XYZ	4693.002
4699.XYZ	4699.002
4704.XYZ	4704.002
4704.XYZ	4704.004
4707.XYZ	4707.002
4713.XYZ	4713.002
4724.XYZ	4724.002
4725.XYZ	4725.002
4727.XYZ	4727.002
4727.XYZ	4727.004
Lbody:4727.XYZ	Lbody:4727.002
4727.XYZ	4727.006
4739.XYZ	4739.002
4742.XYZ	4742.002
4742.XYZ	4742.004
4742.XYZ	4742.006
4742.XYZ	4742.008
Lbody:4742.XYZ	Lbody:4742.006
4742.XYZ	4742.010
Lbody:4742.XYZ	Lbody:4742.006
4743.XYZ	4743.002
4743.XYZ	4743.004
4745.XYZ	4745.002
4752.XYZ	4752.002
4753.XYZ	4753.002
4756.XYZ	4756.002
4759.XYZ	4759.002
4760.XYZ	4760.002
4775.XYZ	4775.002
4780.XYZ	4780.002
4789.XYZ	4789.002
4804.XYZ	4804.002
4825.XYZ	4825.002
4829.XYZ	4829.002
4867.XYZ	4867.002
4870.XYZ	4870.002
4881.XYZ	4881.004
4894.XYZ	4894.002
4895.XYZ	4895.002
4901.XYZ	4901.002
4902.XYZ	4902.002
4910.XYZ	4910.004
4922.XYZ	4922.002
4925.XYZ	4925.002
4936.XYZ	4936.002
4939.XYZ	4939.002
4939.XYZ	4939.004
4965.XYZ	4965.002
4972.XYZ	4972.002
4984.XYZ	4984.002
4999.XYZ	4999.002
5004.XYZ	5004.002
5014.XYZ	5014.002
5025.XYZ	5025.002
5033.XYZ	5033.002
5033.XYZ	5033.004
Lbody:5033.XYZ	Lbody:5033.002
5055.XYZ	5055.002
5057.XYZ	5057.002
5086.XYZ	5086.002
5094.XYZ	5094.002
5095.XYZ	5095.002
5110.XYZ	5110.002
5115.XYZ	5115.002
5120.XYZ	5120.002
5122.XYZ	5122.002
5130.XYZ	5130.002
5131.XYZ	5131.002
5131.XYZ	5131.004
5134.XYZ	5134.002
5140.XYZ	5140.002
5151.XYZ	5151.002
5170.XYZ	5170.002
5170.XYZ	5170.004
5170.XYZ	5170.006
5186.XYZ	5186.002
5188.XYZ	5188.002
5188.XYZ	5188.004
5190.XYZ	5190.002
5190.XYZ	5190.004
5201.XYZ	5201.002
5206.XYZ	5206.002
5210.XYZ	5210.002
5217.XYZ	5217.004
5219.XYZ	5219.002
5222.XYZ	5222.002
5232.XYZ	5232.002
5255.XYZ	5255.002
5255.XYZ	5255.004
5259.XYZ	5259.002
5285.XYZ	5285.002
5285.XYZ	5285.004
Lbody:5285.XYZ	Lbody:5285.002
5289.XYZ	5289.004
5306.XYZ	5306.002
5309.XYZ	5309.002
5313.XYZ	5313.002
5328.XYZ	5328.002
5350.XYZ	5350.002
5359.XYZ	5359.002
5360.XYZ	5360.002
5370.XYZ	5370.002
5390.XYZ	5390.002
5409.XYZ	5409.002
5414.XYZ	5414.002
5415.XYZ	5415.002
5426.XYZ	5426.002
5433.XYZ	5433.002
5453.XYZ	5453.002
5455.XYZ	5455.002
5465.XYZ	5465.002
5465.XYZ	5465.004
5466.XYZ	5466.002
5466.XYZ	5466.004
5472.XYZ	5472.002
5472.XYZ	5472.004
5473.XYZ	5473.002
5478.XYZ	5478.002
5478.XYZ	5478.004
5480.XYZ	5480.002
5491.XYZ	5491.002
5494.XYZ	5494.002
5495.XYZ	5495.002
5496.XYZ	5496.002
5499.XYZ	5499.002
5507.XYZ	5507.002
5514.XYZ	5514.002
5516.XYZ	5516.002
5516.XYZ	5516.004
5516.XYZ	5516.006
5522.XYZ	5522.002
5532.XYZ	5532.002
5534.XYZ	5534.002
5534.XYZ	5534.004
5537.XYZ	5537.002
5538.XYZ	5538.002
5543.XYZ	5543.002
5545.XYZ	5545.002
5548.XYZ	5548.002
5549.XYZ	5549.002
5551.XYZ	5551.002
5558.XYZ	5558.002
5559.XYZ	5559.002
5559.XYZ	5559.004
5560.XYZ	5560.002
5564.XYZ	5564.002
5570.XYZ	5570.002
5572.XYZ	5572.002
5573.XYZ	5573.002
5577.XYZ	5577.002
5577.XYZ	5577.004
5577.XYZ	5577.006
5581.XYZ	5581.002
5582.XYZ	5582.002
5583.XYZ	5583.002
5584.XYZ	5584.002
5584.XYZ	5584.004
5585.XYZ	5585.002
5597.XYZ	5597.002
5597.XYZ	5597.004
5597.XYZ	5597.006
Lbody:5597.XYZ	Lbody:5597.004
5598.XYZ	5598.002
5600.XYZ	5600.002
5603.XYZ	5603.002
5608.XYZ	5608.002
5612.XYZ	5612.002
5613.XYZ	5613.002
5613.XYZ	5613.004
5618.XYZ	5618.002
5618.XYZ	5618.004
Lbody:5618.XYZ	Lbody:5618.002
5618.XYZ	5618.006
5621.XYZ	5621.002
5622.XYZ	5622.002
5622.XYZ	5622.004
5625.XYZ	5625.002
5625.XYZ	5625.004
5625.XYZ	5625.006
5627.XYZ	5627.002
5643.XYZ	5643.002
5652.XYZ	5652.002
5652.XYZ	5652.004
5653.XYZ	5653.006
5653.XYZ	5653.008
5653.XYZ	5653.010
5655.XYZ	5655.002
5657.XYZ	5657.002
5661.XYZ	5661.002
5663.XYZ	5663.002
5665.XYZ	5665.002
5681.XYZ	5681.002
5681.XYZ	5681.004
5683.XYZ	5683.002
5683.XYZ	5683.004
5685.XYZ	5685.002
5694.XYZ	5694.002
5697.XYZ	5697.002
5697.XYZ	5697.004
Lbody:5697.XYZ	Lbody:5697.002
5698.XYZ	5698.002
5698.XYZ	5698.004
5698.XYZ	5698.006
5700.XYZ	5700.002
5701.XYZ	5701.002
5704.XYZ	5704.002
5709.XYZ	5709.002
5709.XYZ	5709.004
5711.XYZ	5711.002
5713.XYZ	5713.002
5721.XYZ	5721.002
5721.XYZ	5721.004
5729.XYZ	5729.002
5733.XYZ	5733.002
5738.XYZ	5738.002
5740.XYZ	5740.002
5745.XYZ	5745.002
5745.XYZ	5745.004
Lbody:5745.XYZ	Lbody:5745.002
5751.XYZ	5751.002
5752.XYZ	5752.002
5754.XYZ	5754.002
5757.XYZ	5757.002
5758.XYZ	5758.002
5762.XYZ	5762.002
5762.XYZ	5762.004
5766.XYZ	5766.004
5767.XYZ	5767.002
5779.XYZ	5779.002
5779.XYZ	5779.004
5782.XYZ	5782.002
5782.XYZ	5782.004
5785.XYZ	5785.002
5791.XYZ	5791.002
5797.XYZ	5797.002
5803.XYZ	5803.002
5803.XYZ	5803.004
5806.XYZ	5806.002
5806.XYZ	5806.004
5806.XYZ	5806.006
5809.XYZ	5809.002
5809.XYZ	5809.004
5809.XYZ	5809.006
Lbody:5809.XYZ	Lbody:5809.004
5812.XYZ	5812.002
5819.XYZ	5819.002
5820.XYZ	5820.002
5820.XYZ	5820.004
5821.XYZ	5821.002
5822.XYZ	5822.002
5823.XYZ	5823.004
5824.XYZ	5824.002
5827.XYZ	5827.002
5832.XYZ	5832.002
5832.XYZ	5832.004
5838.XYZ	5838.002
5838.XYZ	5838.004
5838.XYZ	5838.006
5845.XYZ	5845.002
5855.XYZ	5855.002
5855.XYZ	5855.004
5856.XYZ	5856.004
5858.XYZ	5858.002
5860.XYZ	5860.002
5863.XYZ	5863.002
5864.XYZ	5864.002
5865.XYZ	5865.002
5865.XYZ	5865.004
5866.XYZ	5866.002
5866.XYZ	5866.004
5869.XYZ	5869.002
5881.XYZ	5881.002
5881.XYZ	5881.004
5887.XYZ	5887.002
5890.XYZ	5890.002
5890.XYZ	5890.004
5892.XYZ	5892.002
5894.XYZ	5894.002
5894.XYZ	5894.004
5896.XYZ	5896.002
5896.XYZ	5896.004
5897.XYZ	5897.002
5908.XYZ	5908.002
5911.XYZ	5911.002
5913.XYZ	5913.002
5914.XYZ	5914.002
5914.XYZ	5914.004
5915.XYZ	5915.002
5919.XYZ	5919.002
5921.XYZ	5921.002
5921.XYZ	5921.004
5924.XYZ	5924.002
5924.XYZ	5924.004
5924.XYZ	5924.006
5925.XYZ	5925.004
5927.XYZ	5927.002
5929.XYZ	5929.002
5929.XYZ	5929.004
5933.XYZ	5933.002
5939.XYZ	5939.002
5945.XYZ	5945.002
5947.XYZ	5947.002
5947.XYZ	5947.004
5948.XYZ	5948.002
5953.XYZ	5953.002
5959.XYZ	5959.002
5962.XYZ	5962.002
5963.XYZ	5963.002
5969.XYZ	5969.002
5974.XYZ	5974.002
5976.XYZ	5976.002
5982.XYZ	5982.002
5987.XYZ	5987.002
5987.XYZ	5987.004
5991.XYZ	5991.002
6000.XYZ	6000.002
6004.XYZ	6004.002
6004.XYZ	6004.004
6005.XYZ	6005.002
6005.XYZ	6005.004
6008.XYZ	6008.002
6013.XYZ	6013.002
6014.XYZ	6014.002
6019.XYZ	6019.002
6021.XYZ	6021.002
6022.XYZ	6022.002
6022.XYZ	6022.004
6026.XYZ	6026.002
6026.XYZ	6026.004
6028.XYZ	6028.004
6028.XYZ	6028.006
Lbody:6028.XYZ	Lbody:6028.004
6031.XYZ	6031.002
6035.XYZ	6035.002
6042.XYZ	6042.002
6042.XYZ	6042.004
6045.XYZ	6045.002
6046.XYZ	6046.002
6047.XYZ	6047.002
6055.XYZ	6055.002
6063.XYZ	6063.002
6069.XYZ	6069.002
6070.XYZ	6070.002
6073.XYZ	6073.002
6073.XYZ	6073.004
6074.XYZ	6074.002
6075.XYZ	6075.002
6075.XYZ	6075.004
6077.XYZ	6077.002
6077.XYZ	6077.004
6077.XYZ	6077.006
Lbody:6077.XYZ	Lbody:6077.004
6079.XYZ	6079.004
6081.XYZ	6081.004
6082.XYZ	6082.002
6088.XYZ	6088.002
6088.XYZ	6088.004
6089.XYZ	6089.002
6105.XYZ	6105.002
6106.XYZ	6106.002
6106.XYZ	6106.004
6117.XYZ	6117.002
6119.XYZ	6119.002
6119.XYZ	6119.004
6120.XYZ	6120.002
6124.XYZ	6124.002
6125.XYZ	6125.002
6126.XYZ	6126.002
6130.XYZ	6130.002
6130.XYZ	6130.004
Lbody:6130.XYZ	Lbody:6130.002
6135.XYZ	6135.002
6139.XYZ	6139.002
6139.XYZ	6139.004
6140.XYZ	6140.002
6147.XYZ	6147.002
6149.XYZ	6149.002
6153.XYZ	6153.002
6157.XYZ	6157.002
6157.XYZ	6157.004
6157.XYZ	6157.006
6158.XYZ	6158.002
6158.XYZ	6158.004
6176.XYZ	6176.002
6181.XYZ	6181.002
6184.XYZ	6184.002
6191.XYZ	6191.002
6197.XYZ	6197.002
6217.XYZ	6217.002
6220.XYZ	6220.002
6228.XYZ	6228.002
6230.XYZ	6230.002
6236.XYZ	6236.002
6239.XYZ	6239.002
6247.XYZ	6247.002
6252.XYZ	6252.002
6259.XYZ	6259.002
6265.XYZ	6265.002
6276.XYZ	6276.002
6276.XYZ	6276.004
6277.XYZ	6277.002
6279.XYZ	6279.002
6280.XYZ	6280.002
6280.XYZ	6280.004
6288.XYZ	6288.002
6290.XYZ	6290.002
6295.XYZ	6295.002
6298.XYZ	6298.002
6301.XYZ	6301.002
6302.XYZ	6302.002
6303.XYZ	6303.004
6305.XYZ	6305.002
6305.XYZ	6305.004
6310.XYZ	6310.002
6310.XYZ	6310.004
6311.XYZ	6311.002
6315.XYZ	6315.002
6315.XYZ	6315.004
Lbody:6315.XYZ	Lbody:6315.002
6315.XYZ	6315.006
6317.XYZ	6317.002
6317.XYZ	6317.004
6319.XYZ	6319.002
6324.XYZ	6324.002
6330.XYZ	6330.002
6331.XYZ	6331.004
6335.XYZ	6335.002
6340.XYZ	6340.002
6340.XYZ	6340.004
6354.XYZ	6354.002
6373.XYZ	6373.002
6376.XYZ	6376.002
6380.XYZ	6380.002
6389.XYZ	6389.002
6411.XYZ	6411.002
6412.XYZ	6412.002
6412.XYZ	6412.004
6414.XYZ	6414.002
6420.XYZ	6420.002
6431.XYZ	6431.002
6441.XYZ	6441.002
6441.XYZ	6441.004
Lbody:6441.XYZ	Lbody:6441.002
6445.XYZ	6445.002
6455.XYZ	6455.002
6455.XYZ	6455.004
6463.XYZ	6463.002
6463.XYZ	6463.004
6463.XYZ	6463.006
6468.XYZ	6468.002
6471.XYZ	6471.002
6489.XYZ	6489.002
6489.XYZ	6489.004
6490.XYZ	6490.002
6495.XYZ	6495.002
6496.XYZ	6496.002
6500.XYZ	6500.002
6501.XYZ	6501.002
6507.XYZ	6507.002
6510.XYZ	6510.002
6527.XYZ	6527.002
6527.XYZ	6527.004
Lbody:6527.XYZ	Lbody:6527.002
6534.XYZ	6534.004
6534.XYZ	6534.006
Lbody:6534.XYZ	Lbody:6534.004
6549.XYZ	6549.002
6549.XYZ	6549.004
6549.XYZ	6549.006
6550.XYZ	6550.002
6551.XYZ	6551.002
6553.XYZ	6553.002
6553.XYZ	6553.004
6553.XYZ	6553.006
6556.XYZ	6556.002
6556.XYZ	6556.004
Lbody:6556.XYZ	Lbody:6556.002
6556.XYZ	6556.006
6560.XYZ	6560.002
6561.XYZ	6561.004
6564.XYZ	6564.002
6566.XYZ	6566.004
6577.XYZ	6577.002
6579.XYZ	6579.002
6580.XYZ	6580.002
6583.XYZ	6583.002
6583.XYZ	6583.004
6584.XYZ	6584.002
6585.XYZ	6585.002
6586.XYZ	6586.002
6589.XYZ	6589.002
6601.XYZ	6601.002
6601.XYZ	6601.004
Lbody:6601.XYZ	Lbody:6601.002
6602.XYZ	6602.002
6606.XYZ	6606.002
6612.XYZ	6612.002
6615.XYZ	6615.002
6618.XYZ	6618.002
6619.XYZ	6619.002
6625.XYZ	6625.002
6639.XYZ	6639.002
6644.XYZ	6644.002
6644.XYZ	6644.004
6654.XYZ	6654.002
6656.XYZ	6656.002
6659.XYZ	6659.002
6667.XYZ	6667.002
6671.XYZ	6671.004
6677.XYZ	6677.002
6692.XYZ	6692.002
6692.XYZ	6692.004
6704.XYZ	6704.004
6708.XYZ	6708.002
6712.XYZ	6712.004
6715.XYZ	6715.002
6718.XYZ	6718.002
6719.XYZ	6719.002
6722.XYZ	6722.002
6722.XYZ	6722.004
6722.XYZ	6722.006
6727.XYZ	6727.002
6729.XYZ	6729.002
6740.XYZ	6740.002
6752.XYZ	6752.002
6752.XYZ	6752.004
6753.XYZ	6753.002
6753.XYZ	6753.004
6756.XYZ	6756.002
6768.XYZ	6768.002
6772.XYZ	6772.002
6775.XYZ	6775.002
6784.XYZ	6784.002
6785.XYZ	6785.002
6787.XYZ	6787.002
6796.XYZ	6796.002
6797.XYZ	6797.002
6797.XYZ	6797.004
6799.XYZ	6799.002
6799.XYZ	6799.004
6799.XYZ	6799.006
6800.XYZ	6800.002
6812.XYZ	6812.002
6821.XYZ	6821.002
6827.XYZ	6827.002
6827.XYZ	6827.004
6827.XYZ	6827.006
6829.XYZ	6829.002
6829.XYZ	6829.004
6834.XYZ	6834.002
6880.XYZ	6880.002
6916.XYZ	6916.002
6917.XYZ	6917.002
6926.XYZ	6926.002
6929.XYZ	6929.002
6931.XYZ	6931.002
6932.XYZ	6932.002
6933.XYZ	6933.002
6940.XYZ	6940.002
6940.XYZ	6940.004
Lbody:6940.XYZ	Lbody:6940.002
6940.XYZ	6940.006
6943.XYZ	6943.002
6944.XYZ	6944.002
6945.XYZ	6945.002
6945.XYZ	6945.004
6956.XYZ	6956.002
6960.XYZ	6960.002
6963.XYZ	6963.002
6967.XYZ	6967.002
6968.XYZ	6968.002
6968.XYZ	6968.004
Lbody:6968.XYZ	Lbody:6968.002
6973.XYZ	6973.002
6979.XYZ	6979.002
6992.XYZ	6992.006
6994.XYZ	6994.002
7001.XYZ	7001.002
7008.XYZ	7008.004
7013.XYZ	7013.002
7016.XYZ	7016.002
7021.XYZ	7021.004
7021.XYZ	7021.006
Lbody:7021.XYZ	Lbody:7021.004
7024.XYZ	7024.002
7026.XYZ	7026.002
7027.XYZ	7027.002
7028.XYZ	7028.004
7028.XYZ	7028.006
7030.XYZ	7030.004
7035.XYZ	7035.002
7043.XYZ	7043.002
7043.XYZ	7043.004
7045.XYZ	7045.002
7052.XYZ	7052.002
7057.XYZ	7057.002
7057.XYZ	7057.004
7057.XYZ	7057.006
7059.XYZ	7059.002
7059.XYZ	7059.004
7061.XYZ	7061.002
7065.XYZ	7065.004
7068.XYZ	7068.002
7069.XYZ	7069.002
7071.XYZ	7071.002
7076.XYZ	7076.002
7076.XYZ	7076.004
Lbody:7076.XYZ	Lbody:7076.002
7076.XYZ	7076.006
Lbody:7076.XYZ	Lbody:7076.002
7087.XYZ	7087.002
7103.XYZ	7103.002
7106.XYZ	7106.002
7106.XYZ	7106.004
7112.XYZ	7112.002
7112.XYZ	7112.004
7113.XYZ	7113.002
7113.XYZ	7113.004
7119.XYZ	7119.002
7120.XYZ	7120.002
7128.XYZ	7128.002
7133.XYZ	7133.002
7134.XYZ	7134.002
7134.XYZ	7134.004
7135.XYZ	7135.002
7137.XYZ	7137.002
7137.XYZ	7137.004
Lbody:7137.XYZ	Lbody:7137.002
7156.XYZ	7156.002
7156.XYZ	7156.004
7164.XYZ	7164.002
7168.XYZ	7168.004
7168.XYZ	7168.006
Lbody:7168.XYZ	Lbody:7168.004
7172.XYZ	7172.002
7195.XYZ	7195.002
7200.XYZ	7200.004
7201.XYZ	7201.006
7202.XYZ	7202.002
7206.XYZ	7206.002
7207.XYZ	7207.002
7215.XYZ	7215.002
7216.XYZ	7216.002
7220.XYZ	7220.002
7221.XYZ	7221.002
7235.XYZ	7235.002
7237.XYZ	7237.002
7237.XYZ	7237.004
7243.XYZ	7243.002
7247.XYZ	7247.002
7247.XYZ	7247.004
7258.XYZ	7258.002
7260.XYZ	7260.002
7261.XYZ	7261.002
7266.XYZ	7266.004
7271.XYZ	7271.002
7286.XYZ	7286.002
7288.XYZ	7288.002
7289.XYZ	7289.002
7305.XYZ	7305.002
7306.XYZ	7306.002
7310.XYZ	7310.002
7314.XYZ	7314.002
7323.XYZ	7323.002
7324.XYZ	7324.002
7325.XYZ	7325.002
7331.XYZ	7331.002
7332.XYZ	7332.004
7332.XYZ	7332.006
7332.XYZ	7332.008
7340.XYZ	7340.002
7356.XYZ	7356.002
7356.XYZ	7356.004
7369.XYZ	7369.002
7373.XYZ	7373.002
7373.XYZ	7373.004
7376.XYZ	7376.002
7382.XYZ	7382.002
7384.XYZ	7384.002
7387.XYZ	7387.002
7389.XYZ	7389.004
7390.XYZ	7390.002
7391.XYZ	7391.004
7391.XYZ	7391.006
Lbody:7391.XYZ	Lbody:7391.004
7397.XYZ	7397.002
7399.XYZ	7399.002
7402.XYZ	7402.004
7402.XYZ	7402.006
7404.XYZ	7404.002
7404.XYZ	7404.004
Lbody:7404.XYZ	Lbody:7404.002
7407.XYZ	7407.002
7411.XYZ	7411.002
7413.XYZ	7413.002
7413.XYZ	7413.004
7414.XYZ	7414.002
7414.XYZ	7414.004
Lbody:7414.XYZ	Lbody:7414.002
7415.XYZ	7415.002
7415.XYZ	7415.004
7419.XYZ	7419.002
7421.XYZ	7421.002
7421.XYZ	7421.004
Lbody:7421.XYZ	Lbody:7421.002
7421.XYZ	7421.006
7431.XYZ	7431.002
7444.XYZ	7444.002
7444.XYZ	7444.004
7460.XYZ	7460.002
7467.XYZ	7467.002
7477.XYZ	7477.002
7478.XYZ	7478.002
7487.XYZ	7487.002
7491.XYZ	7491.002
7493.XYZ	7493.002
7499.XYZ	7499.002
7504.XYZ	7504.002
7507.XYZ	7507.002
7508.XYZ	7508.002
7510.XYZ	7510.002
7511.XYZ	7511.002
7519.XYZ	7519.002
7519.XYZ	7519.004
7519.XYZ	7519.006
7527.XYZ	7527.002
7529.XYZ	7529.002
7534.XYZ	7534.002
7538.XYZ	7538.002
7538.XYZ	7538.004
7538.XYZ	7538.006
7539.XYZ	7539.002
7544.XYZ	7544.002
7544.XYZ	7544.004
7544.XYZ	7544.006
7546.XYZ	7546.002
7550.XYZ	7550.002
7550.XYZ	7550.004
7553.XYZ	7553.002
7553.XYZ	7553.004
Lbody:7553.XYZ	Lbody:7553.002
7562.XYZ	7562.002
7563.XYZ	7563.002
7565.XYZ	7565.002
7574.XYZ	7574.002
7574.XYZ	7574.004
7582.XYZ	7582.002
7589.XYZ	7589.002
7589.XYZ	7589.004
7589.XYZ	7589.006
Lbody:7589.XYZ	Lbody:7589.004
7592.XYZ	7592.002
7592.XYZ	7592.004
7592.XYZ	7592.006
7593.XYZ	7593.002
7597.XYZ	7597.002
7597.XYZ	7597.004
7606.XYZ	7606.002
7606.XYZ	7606.004
Lbody:7606.XYZ	Lbody:7606.002
7610.XYZ	7610.004
7611.XYZ	7611.002
7611.XYZ	7611.004
Lbody:7611.XYZ	Lbody:7611.002
7612.XYZ	7612.002
7615.XYZ	7615.002
7615.XYZ	7615.004
7616.XYZ	7616.002
7631.XYZ	7631.002
7634.XYZ	7634.002
7636.XYZ	7636.002
7644.XYZ	7644.002
7645.XYZ	7645.002
7647.XYZ	7647.002
7649.XYZ	7649.002
7653.XYZ	7653.002
7653.XYZ	7653.004
Lbody:7653.XYZ	Lbody:7653.002
7653.XYZ	7653.006
7665.XYZ	7665.002
7670.XYZ	7670.002
7671.XYZ	7671.002
7671.XYZ	7671.004
7671.XYZ	7671.006
Lbody:7671.XYZ	Lbody:7671.004
7671.XYZ	7671.008
7675.XYZ	7675.002
7679.XYZ	7679.002
7683.XYZ	7683.002
7686.XYZ	7686.002
7688.XYZ	7688.002
7694.XYZ	7694.002
7697.XYZ	7697.002
7697.XYZ	7697.004
7708.XYZ	7708.002
7708.XYZ	7708.004
7722.XYZ	7722.002
7724.XYZ	7724.002
7728.XYZ	7728.002
7729.XYZ	7729.002
7735.XYZ	7735.002
7740.XYZ	7740.002
7742.XYZ	7742.002
7743.XYZ	7743.002
7743.XYZ	7743.004
7744.XYZ	7744.002
7744.XYZ	7744.004
7744.XYZ	7744.006
7745.XYZ	7745.002
7747.XYZ	7747.002
7751.XYZ	7751.002
7758.XYZ	7758.002
7760.XYZ	7760.002
7765.XYZ	7765.002
7769.XYZ	7769.002
7771.XYZ	7771.002
7788.XYZ	7788.002
7790.XYZ	7790.002
7802.XYZ	7802.002
7808.XYZ	7808.002
7812.XYZ	7812.002
7812.XYZ	7812.004
7816.XYZ	7816.002
7821.XYZ	7821.002
7823.XYZ	7823.002
7825.XYZ	7825.004
7826.XYZ	7826.002
7827.XYZ	7827.002
7828.XYZ	7828.002
7839.XYZ	7839.002
7841.XYZ	7841.002
7842.XYZ	7842.002
7842.XYZ	7842.004
7845.XYZ	7845.002
7847.XYZ	7847.002
7852.XYZ	7852.002
7854.XYZ	7854.002
7855.XYZ	7855.002
7855.XYZ	7855.004
7857.XYZ	7857.002
7858.XYZ	7858.002
7858.XYZ	7858.004
7861.XYZ	7861.002
7862.XYZ	7862.002
7863.XYZ	7863.002
7863.XYZ	7863.004
7863.XYZ	7863.006
7863.XYZ	7863.008
7865.XYZ	7865.002
7865.XYZ	7865.004
Lbody:7865.XYZ	Lbody:7865.002
7867.XYZ	7867.002
7870.XYZ	7870.002
7874.XYZ	7874.002
7874.XYZ	7874.004
7879.XYZ	7879.002
7883.XYZ	7883.002
7884.XYZ	7884.002
7884.XYZ	7884.004
7885.XYZ	7885.002
7889.XYZ	7889.004
7889.XYZ	7889.006
Lbody:7889.XYZ	Lbody:7889.004
7894.XYZ	7894.002
7895.XYZ	7895.002
7896.XYZ	7896.002
7896.XYZ	7896.004
7896.XYZ	7896.006
7903.XYZ	7903.002
7911.XYZ	7911.002
7926.XYZ	7926.002
7926.XYZ	7926.004
7937.XYZ	7937.002
7937.XYZ	7937.004
7937.XYZ	7937.006
7938.XYZ	7938.002
7944.XYZ	7944.002
7952.XYZ	7952.002
7954.XYZ	7954.002
7954.XYZ	7954.004
7958.XYZ	7958.002
7967.XYZ	7967.002
7985.XYZ	7985.002
7986.XYZ	7986.002
7987.XYZ	7987.002
7989.XYZ	7989.004
7989.XYZ	7989.006
Lbody:7989.XYZ	Lbody:7989.004
7991.XYZ	7991.002
7998.XYZ	7998.002
8000.XYZ	8000.002
8002.XYZ	8002.002
8012.XYZ	8012.002
8012.XYZ	8012.004
8014.XYZ	8014.002
8014.XYZ	8014.004
Lbody:8014.XYZ	Lbody:8014.002
8030.XYZ	8030.002
8031.XYZ	8031.002
8033.XYZ	8033.002
8036.XYZ	8036.002
8039.XYZ	8039.002
8040.XYZ	8040.002
8042.XYZ	8042.002
8045.XYZ	8045.002
8045.XYZ	8045.004
8045.XYZ	8045.006
8049.XYZ	8049.002
8049.XYZ	8049.004
8050.XYZ	8050.002
8050.XYZ	8050.004
8050.XYZ	8050.006
Lbody:8050.XYZ	Lbody:8050.004
8050.XYZ	8050.008
Lbody:8050.XYZ	Lbody:8050.004
8050.XYZ	8050.010
Lbody:8050.XYZ	Lbody:8050.004
8052.XYZ	8052.002
8061.XYZ	8061.002
8065.XYZ	8065.002
8067.XYZ	8067.002
8069.XYZ	8069.002
8073.XYZ	8073.002
8078.XYZ	8078.002
8080.XYZ	8080.002
8082.XYZ	8082.002
8082.XYZ	8082.004
8092.XYZ	8092.002
8096.XYZ	8096.002
8096.XYZ	8096.004
8096.XYZ	8096.006
8098.XYZ	8098.002
8101.XYZ	8101.006
8106.XYZ	8106.002
8106.XYZ	8106.004
8159.XYZ	8159.002
8176.XYZ	8176.002
8184.XYZ	8184.002
8184.XYZ	8184.004
8187.XYZ	8187.002
8188.XYZ	8188.002
8190.XYZ	8190.002
8191.XYZ	8191.002
8196.XYZ	8196.002
8199.XYZ	8199.002
8199.XYZ	8199.004
8205.XYZ	8205.002
8212.XYZ	8212.002
8216.XYZ	8216.002
8218.XYZ	8218.002
8226.XYZ	8226.004
8230.XYZ	8230.002
8232.XYZ	8232.002
8244.XYZ	8244.002
8259.XYZ	8259.002
8259.XYZ	8259.004
8260.XYZ	8260.002
8260.XYZ	8260.004
8260.XYZ	8260.006
8265.XYZ	8265.002
8271.XYZ	8271.002
8292.XYZ	8292.002
8293.XYZ	8293.002
8297.XYZ	8297.002
8311.XYZ	8311.002
8312.XYZ	8312.004
8316.XYZ	8316.002
8316.XYZ	8316.004
8321.XYZ	8321.002
