BaseL	AssignedL
809.XYZ	809.002
813.XYZ	813.002
818.XYZ	818.002
818.XYZ	818.004
822.XYZ	822.002
826.XYZ	826.002
830.XYZ	830.002
840.XYZ	840.002
845.XYZ	845.002
847.XYZ	847.002
849.XYZ	849.002
849.XYZ	849.004
851.XYZ	851.002
858.XYZ	858.002
862.XYZ	862.002
864.XYZ	864.002
864.XYZ	864.004
Lbody:864.XYZ	Lbody:864.002
872.XYZ	872.002
876.XYZ	876.002
879.XYZ	879.002
879.XYZ	879.004
884.XYZ	884.002
884.XYZ	884.004
896.XYZ	896.002
896.XYZ	896.004
Lbody:896.XYZ	Lbody:896.002
899.XYZ	899.002
899.XYZ	899.004
900.XYZ	900.002
900.XYZ	900.004
Lbody:900.XYZ	Lbody:900.002
907.XYZ	907.002
914.XYZ	914.002
914.XYZ	914.004
917.XYZ	917.002
921.XYZ	921.002
922.XYZ	922.002
925.XYZ	925.002
925.XYZ	925.004
933.XYZ	933.002
942.XYZ	942.002
942.XYZ	942.004
942.XYZ	942.006
951.XYZ	951.002
956.XYZ	956.002
956.XYZ	956.004
958.XYZ	958.002
959.XYZ	959.002
969.XYZ	969.002
973.XYZ	973.002
973.XYZ	973.004
974.XYZ	974.002
977.XYZ	977.002
979.XYZ	979.002
979.XYZ	979.004
983.XYZ	983.002
984.XYZ	984.002
990.XYZ	990.002
993.XYZ	993.002
993.XYZ	993.004
999.XYZ	999.002
1001.XYZ	1001.002
1003.XYZ	1003.002
1009.XYZ	1009.002
1009.XYZ	1009.004
1010.XYZ	1010.002
1010.XYZ	1010.004
1010.XYZ	1010.006
1016.XYZ	1016.002
1016.XYZ	1016.004
1018.XYZ	1018.002
1018.XYZ	1018.004
1034.XYZ	1034.002
1035.XYZ	1035.002
1037.XYZ	1037.002
1045.XYZ	1045.002
1059.XYZ	1059.002
1063.XYZ	1063.002
1063.XYZ	1063.004
Lbody:1063.XYZ	Lbody:1063.002
1087.XYZ	1087.002
1088.XYZ	1088.002
1100.XYZ	1100.002
1106.XYZ	1106.002
1106.XYZ	1106.004
1111.XYZ	1111.002
1111.XYZ	1111.004
1121.XYZ	1121.002
1122.XYZ	1122.002
1141.XYZ	1141.002
1147.XYZ	1147.004
1155.XYZ	1155.002
1168.XYZ	1168.002
1174.XYZ	1174.002
1178.XYZ	1178.002
1181.XYZ	1181.002
1183.XYZ	1183.002
1189.XYZ	1189.002
1191.XYZ	1191.002
1192.XYZ	1192.002
1200.XYZ	1200.002
1217.XYZ	1217.002
1217.XYZ	1217.004
1217.XYZ	1217.006
1230.XYZ	1230.002
1238.XYZ	1238.002
1238.XYZ	1238.004
1242.XYZ	1242.002
1245.XYZ	1245.002
1248.XYZ	1248.004
1248.XYZ	1248.006
Lbody:1248.XYZ	Lbody:1248.004
1249.XYZ	1249.002
1249.XYZ	1249.004
1249.XYZ	1249.006
Lbody:1249.XYZ	Lbody:1249.004
1254.XYZ	1254.002
1267.XYZ	1267.002
1269.XYZ	1269.002
1272.XYZ	1272.002
1274.XYZ	1274.002
1274.XYZ	1274.004
1279.XYZ	1279.002
1280.XYZ	1280.002
1283.XYZ	1283.002
1287.XYZ	1287.002
1292.XYZ	1292.002
1292.XYZ	1292.004
Lbody:1292.XYZ	Lbody:1292.002
1297.XYZ	1297.002
1297.XYZ	1297.004
1297.XYZ	1297.006
1297.XYZ	1297.008
1298.XYZ	1298.002
1299.XYZ	1299.002
1301.XYZ	1301.002
1301.XYZ	1301.004
1306.XYZ	1306.002
1315.XYZ	1315.002
1324.XYZ	1324.004
1328.XYZ	1328.002
1331.XYZ	1331.002
1335.XYZ	1335.004
1335.XYZ	1335.006
1345.XYZ	1345.002
1349.XYZ	1349.002
1357.XYZ	1357.002
1358.XYZ	1358.002
1359.XYZ	1359.002
1366.XYZ	1366.002
1370.XYZ	1370.002
1371.XYZ	1371.004
1381.XYZ	1381.002
1387.XYZ	1387.002
1389.XYZ	1389.002
1398.XYZ	1398.002
1400.XYZ	1400.004
1400.XYZ	1400.006
Lbody:1400.XYZ	Lbody:1400.004
1403.XYZ	1403.002
1405.XYZ	1405.002
1407.XYZ	1407.002
1408.XYZ	1408.002
1408.XYZ	1408.004
1409.XYZ	1409.002
1417.XYZ	1417.002
1421.XYZ	1421.002
1425.XYZ	1425.004
1427.XYZ	1427.004
1433.XYZ	1433.002
1433.XYZ	1433.004
Lbody:1433.XYZ	Lbody:1433.002
1437.XYZ	1437.002
1439.XYZ	1439.002
1440.XYZ	1440.002
1442.XYZ	1442.002
1448.XYZ	1448.002
1448.XYZ	1448.004
Lbody:1448.XYZ	Lbody:1448.002
1450.XYZ	1450.002
1456.XYZ	1456.002
1458.XYZ	1458.002
1459.XYZ	1459.002
1466.XYZ	1466.002
1480.XYZ	1480.002
1486.XYZ	1486.002
1486.XYZ	1486.004
Lbody:1486.XYZ	Lbody:1486.002
1488.XYZ	1488.002
1488.XYZ	1488.004
Lbody:1488.XYZ	Lbody:1488.002
1488.XYZ	1488.006
1498.XYZ	1498.002
1501.XYZ	1501.002
1505.XYZ	1505.002
1506.XYZ	1506.002
1507.XYZ	1507.002
1508.XYZ	1508.002
1512.XYZ	1512.002
1512.XYZ	1512.004
1514.XYZ	1514.002
1528.XYZ	1528.002
1534.XYZ	1534.002
1544.XYZ	1544.002
1547.XYZ	1547.002
1547.XYZ	1547.004
Lbody:1547.XYZ	Lbody:1547.002
1548.XYZ	1548.002
1557.XYZ	1557.002
1562.XYZ	1562.002
1564.XYZ	1564.002
1572.XYZ	1572.002
1578.XYZ	1578.002
1580.XYZ	1580.004
1585.XYZ	1585.002
1586.XYZ	1586.002
1592.XYZ	1592.002
1592.XYZ	1592.004
1597.XYZ	1597.002
1602.XYZ	1602.002
1620.XYZ	1620.002
1624.XYZ	1624.002
1645.XYZ	1645.002
1645.XYZ	1645.004
1646.XYZ	1646.002
1647.XYZ	1647.002
1647.XYZ	1647.004
