Lnum	basehw	suffix	resolution	in_sanhw1
5	aMSakaH	kam	aMSakam	True
13	aMSumat	tI	aMSumatI	True
15	aMSula	laH	aMSulaH	True
22	aMhUraRa	Ram	aMhUraRam	True
29	aMhu	hu	aMhu	True
29	aMhu	Beda	aMhuBeda	True
29	aMhu	dI	aMhuBedI	True
34	akaca	caH	akacaH	True
39	akanizWa	zWaH	akanizWaH	True
41	akampana	naH	akampanaH	True
42	akampita	taH	akampitaH	True
43	akara	rA	akarA	True
44	akaraRam	Ra	akaraRa	True
46	akarRa	rRaH	akarRaH	True
55	akalaNka	kaH	akalaNkaH	True
56	akalka	lkA	akalkA	True
59	akalpa	lpaH	akalpaH	True
63	akalya	SarIra	akalyaSarIra	True
64	akalyARa	Ram	akalyARam	True
73	akAya	yaH	akAyaH	True
74	akAra	raH	akAraH	True
75	akAraRa	Ram	akAraRam	True
75	akAraRa	akAraRAd	akAraRAd	False
75	akAraRa	raRam	akAraRam	True
75	akAraRa	Re	akAraRe	True
78	akArya	ryam	akAryam	True
79	akAla	laH	akAlaH	True
82	akiMcana	nam	akiMcanam	True
94	akula	laH	akulaH	True
94	akula	lam	akulam	True
94	akula	lA	akulA	True
96	akuSala	lam	akuSalam	True
99	akUpAra	raH	akUpAraH	True
101	akUrca	rcaH	akUrcaH	True
102	akfcCra	cCram	akfcCram	True
103	akfta	tA	akftA	True
103	akfta	tam	akftam	True
105	akftya	tyam	akftyam	True
113	akfzRa	zRaH	akfzRaH	True
123	akra	kraH	akraH	True
125	akrama	maH	akramaH	True
126	akrAnta	tA	akrAntA	True
127	akriya	yA	akriyA	True
128	akrUra	raH	akrUraH	True
129	akroDa	DaH	akroDaH	True
130	akroDana	naH	akroDanaH	True
135	aklIba	bam	aklIbam	True
136	akleSa	Sam	akleSam	True
138	akzaH	kzam	akzam	True
145	akzata	taH	akzataH	True
145	akzata	tam	akzatam	True
148	akzama	mA	akzamA	True
149	akzaya	yaH	akzayaH	True
149	akzaya	yA	akzayA	True
153	akzara	raH	akzaraH	True
153	akzara	rA	akzarA	True
153	akzara	ram	akzaram	True
160	akzAra	raH	akzAraH	True
164	akzita	tama	akzitam	True
166	akziti	tiH	akzitiH	True
168	akzivaH	vam	akzivam	True
170	akzIva	vaH	akzIvaH	True
170	akzIva	vam	akzIvam	True
173	akzudra	draH	akzudraH	True
176	akzetra	tram	akzetram	True
180	akzoBa	BaH	akzoBaH	True
181	akzoBya	ByaH	akzoByaH	True
184	akzRa	kzRam	akzRam	True
190	aKaRqa	Rqam	aKaRqam	True
191	aKaRqana	nam	aKaRqanam	True
191	aKaRqana	naH	aKaRqanaH	True
195	aKAta	taH	aKAtaH	True
195	aKAta	tam	aKAtam	True
206	aga	gaH	agaH	True
207	agacCa	cCaH	agacCaH	True
212	agada	daH	agadaH	True
212	agada	rAjaH	agadarAjaH	True
226	agADa	DaH	agADaH	True
226	agADa	Dam	agADam	True
226	agADa	DaH	agADaH	True
229	agu	guH	aguH	True
230	aguRa	RaH	aguRaH	True
230	aguRa	Ram	aguRam	True
231	aguru	ru	aguru	True
236	agocara	rama	agocaram	True
255	agra	graH	agraH	True
255	agra	gram	agram	True
257	agrima	maH	agrimaH	True
257	agrima	mA	agrimA	True
258	agriya	yaH	agriyaH	True
258	agriya	yam	agriyam	True
261	agrya	gryaH	agryaH	True
261	agrya	gryam	agryam	True
261	agrya	gryA	agryA	True
265	agrAhya	hyA	agrAhyA	True
268	aGa	Gam	aGam	True
268	aGa	GaH	aGaH	True
268	aGa	GA	aGA	True
269	aGana	mAnam	aGanamAnam	False
275	aGora	raH	aGoraH	True
275	aGora	rA	aGorA	True
276	aGoza	zaH	aGozaH	True
278	aGnya	GnyaH	aGnyaH	True
278	aGnya	GnyA	aGnyA	True
279	aGreya	yam	aGreyam	True
284	aNkin	nI	aNkinI	True
285	aNkya	kyaH	aNkyaH	True
286	aNkatiH	tiH	aNkatiH	True
286	aNkatiH	tI	aNkatI	True
294	aNkuSaH	SI	aNkuSI	True
305	aNgam	NgaH	aNgaH	True
313	aNgadam	dA	aNgadA	True
313	aNgadam	daH	aNgadaH	True
319	aNgAraH	ra	aNgAra	True
319	aNgAraH	ram	aNgAram	True
320	aNgArakaH	kam	aNgArakam	True
325	aNgArita	taH	aNgAritaH	True
325	aNgArita	tam	aNgAritam	True
325	aNgArita	tA	aNgAritA	True
353	ac	c	ac	True
356	acaRqa	RqI	acaRqI	True
360	acala	laH	acalaH	True
360	acala	lA	acalA	True
360	acala	lam	acalam	True
361	acApala	lam	acApalam	True
361	acApala	lyam	acApalyam	True
366	acintya	ntyaH	acintyaH	True
369	acira	rama	aciram	True
379	acCa	cCaH	acCaH	True
382	acCAvAkIya	yam	acCAvAkIyam	True
385	acCidra	dram	acCidram	True
392	acyuta	taH	acyutaH	True
394	aja	jaH	ajaH	True
396	ajanam	naH	ajanaH	True
402	ajagam	gaH	ajagaH	True
407	ajaqa	qA	ajaqA	True
409	ajana	naH	ajanaH	True
414	ajanya	nyam	ajanyam	True
415	ajapaH	pA	ajapA	True
416	ajamBa	BaH	ajamBaH	True
417	ajaya	yaH	ajayaH	True
417	ajaya	yA	ajayA	True
419	ajara	raH	ajaraH	True
421	ajarya	ryama	ajaryam	True
425	ajasra	sram	ajasram	True
430	ajAgara	raH	ajAgaraH	True
433	ajAti	tiH	ajAtiH	True
437	ajAneya	yaH	ajAneyaH	True
440	aji	jiH	ajiH	True
441	ajita	taH	ajitaH	True
443	ajiraH	raH	ajiraH	True
443	ajiraH	ram	ajiram	True
443	ajiraH	rA	ajirA	True
443	ajiraH	raH	ajiraH	True
445	ajihma	hmaH	ajihmaH	True
451	ajIrRa	rRam	ajIrRam	True
451	ajIrRa	rRiH	ajIrRiH	True
452	ajIva	vaH	ajIvaH	True
453	ajIvana	nam	ajIvanam	True
457	ajeya	yam	ajeyam	True
467	ajYAna	nam	ajYAnam	True
467	ajYAna	parIkzA	ajYAnaparIkzA	False
472	ajra	jraH	ajraH	True
472	ajra	jra	ajra	True
479	aYjanaH	nam	aYjanam	True
481	aYjanakaH	kI	aYjanakI	True
488	aYjalikA	kaH	aYjalikaH	True
488	aYjalikA	veDa	aYjalikAveDa	True
493	aYji	YjiH	aYjiH	True
493	aYji	YjiH	aYjiH	True
493	aYji	YjI	aYjI	True
498	akta	ktA	aktA	True
511	awwa	wwaH	awwaH	True
511	awwa	wwam	awwam	True
511	awwa	wwam	awwam	True
514	awwanam	nam	awwanam	True
528	aRaka	kaH	aRakaH	True
531	aRu	RuH	aRuH	True
531	aRu	Ru	aRu	True
533	aRuka	kaH	aRukaH	True
542	aRqakaH	kam	aRqakam	True
547	atanam	naH	atanaH	True
549	atawa	waH	atawaH	True
553	atantra	tvam	atantratvam	True
556	atapa	pAH	atapAH	False
559	atarka	rkaH	atarkaH	True
560	atarkita	tam	atarkitam	True
562	atala	lam	atalam	True
562	atala	laH	atalaH	True
570	atikaTA	Ta	atikaTa	True
576	atikAya	yaH	atikAyaH	True
577	atikfcCra	cCram	atikfcCram	True
577	atikfcCra	cCraH	atikfcCraH	True
584	atikrAnta	tam	atikrAntam	True
589	atikrudDa	dDaH	atikrudDaH	True
590	atikrUra	raH	atikrUraH	True
591	atikzipta	ptam	atikziptam	True
596	atiganDa	nDaH	atiganDaH	True
601	atiguRa	RaH	atiguRaH	True
602	atiguru	ruH	atiguruH	True
606	atigraha	haH	atigrahaH	True
606	atigraha	grAhaH	atigrAhaH	True
607	atigrAhya	hyaH	atigrAhyaH	True
609	atiGna	GnI	atiGnI	True
612	aticara	rA	aticarA	True
619	aticCandaH	s	aticCandas	True
622	atijAgara	raH	atijAgaraH	True
629	atitIvra	kzRaH	atitIkzRaH	True
629	atitIvra	kzRA	atitIkzRA	True
629	atitIvra	vrA	atitIvrA	True
630	atitfzRA	zRa	atitfzzRa	False
637	atidagDa	gDam	atidagDam	True
653	atinidrA	dra	atiniddra	False
653	atinidrA	dram	atiniddram	False
660	atipAtita	tam	atipAtitam	True
669	atipara	raH	atiparaH	True
681	atibala	laH	atibalaH	True
681	atibala	lam	atibalam	True
681	atibala	lA	atibalA	True
682	atibAlaka	kaH	atibAlakaH	True
685	atibrahmacaryam	ryaH	atibrahmacaryaH	True
695	atimaNgalya	lyaH	atimaNgalyaH	True
702	atimAtra	tram	atimAtram	True
702	atimAtra	mAtraSaH	atimAtraSaH	False
704	atimAruta	taH	atimArutaH	True
704	atimAruta	vAtaH	ativAtaH	True
707	atimukta	ktaH	atimuktaH	True
707	atimukta	ktakaH	atimuktakaH	True
709	atimftyu	tyuH	atimftyuH	True
716	atirakta	ktA	atiraktA	True
722	atirAtra	traH	atirAtraH	True
726	atiruc	k	atiruk	False
727	atirucira	rA	atirucirA	True
728	atirUkza	kzaH	atirUkzaH	True
729	atirUpa	pam	atirUpam	True
729	atirUpa	paH	atirUpaH	True
734	atiromaSa	SaH	atiromaSaH	True
734	atiromaSa	SA	atiromaSA	True
741	ativakra	kraH	ativakraH	True
745	ativartula	laH	ativartulaH	True
751	ativAhita	taH	ativAhitaH	True
751	ativAhita	tam	ativAhitam	True
755	ativikawa	waH	ativikawaH	True
756	ativiza	zA	ativizA	True
763	ativfdDa	dDaH	ativfdDaH	True
763	ativfdDa	dDA	ativfdDA	True
768	ativela	lam	ativelam	True
778	atiSayana	nam	atiSayanam	True
778	atiSayana	nI	atiSayanI	True
783	atiSAyin	nI	atiSAyinI	True
786	atiSva	SvA	atiSvA	True
786	atiSva	SvaH	atiSvaH	True
789	atizWA	zwA	atizWA	True
795	atisarva	rvaH	atisarvaH	True
800	atisara	raH	atisaraH	True
807	atisOraBa	Bam	atisOraBam	True
807	atisOraBa	BaH	atisOraBaH	True
809	atisparSa	rSaH	atisparSaH	True
813	atIta	tam	atItam	True
818	atIndriya	yaH	atIndriyaH	True
818	atIndriya	yam	atIndriyam	True
822	atula	laH	atulaH	True
826	atUrta	rtam	atUrtam	True
830	atejas	s	atejas	True
840	atyagni	gniH	atyagniH	True
845	atyanta	tam	atyantam	True
847	atyantika	kam	atyantikam	True
849	atyamla	mlaH	atyamlaH	True
849	atyamla	mlA, ˚parRI	atyamlaparRI	True
851	atyarTa	rTam	atyarTam	True
858	atyAcAra	raH	atyAcAraH	True
862	atyAya	yaH	atyAyaH	True
864	atyArUQa	Qam	atyArUQam	True
864	atyArUQa	QiH	atyArUQiH	True
872	atyugra	gram	atyugram	True
876	atyUhaH	hA	atyUhA	True
879	atra	traH	atraH	True
879	atra	tram	atram	True
884	atri	triH	atriH	True
884	atri	atrI	atrI	True
896	aTarvan	rvA	aTarvA	True
896	aTarvan	rva	aTarva	True
899	aTarvANgirasa	sam	aTarvANgirasam	True
899	aTarvANgirasa	sAH	aTarvANgirasAH	True
900	aTarvARam	RaH	aTarvARaH	True
900	aTarvARam	˚vid	aTarvARavid	True
907	adaMzwra	zwraH	adaMzwraH	True
914	adatta	ttA	adattA	True
914	adatta	ttam	adattam	True
917	adanta	taH	adantaH	True
921	adamBa	BaH	adamBaH	True
922	adaya	yam	adayam	True
925	adala	laH	adalaH	True
925	adala	lA	adalA	True
933	adABya	ByaH	adAByaH	True
942	aditi	tiH	aditiH	True
942	aditi	tiH	aditiH	True
942	aditi	tI	aditI	True
951	adUra	ram	adUram	True
956	adfzwa	zwaH	adfzwaH	True
956	adfzwa	zwam	adfzwam	True
958	adeya	yam	adeyam	True
959	adeva	vaH	adevaH	True
969	adoza	zaH	adozaH	True
973	adButa	tam	adButam	True
973	adButa	taH	adButaH	True
974	adman	sad	admasad	True
977	adya	dyam	adyam	True
979	adyatana	naH	adyatanaH	True
979	adyatana	nI	adyatanI	True
983	adyUtya	adyUtyam	adyUtyam	True
984	adrava	vaH	adravaH	True
990	adroGa	Gam	adroGam	True
993	advaya	yaH	advayaH	True
993	advaya	yam	advayam	True
999	advitIya	yam	advitIyam	True
1001	adveza	zaH	advezaH	True
1003	advEta	tam	advEtam	True
1009	aDama	maH	aDamaH	True
1009	aDama	mA	aDamA	True
1010	aDara	raH	aDaraH	True
1010	aDara	rA	aDarA	True
1010	aDara	ram	aDaram	True
1016	aDarAYc	YcI	aDarAYcI	False
1016	aDarAYc	k	aDarAk	True
1018	aDarmaH	rmA	aDarmA	True
1018	aDarmaH	rmam	aDarmam	True
1034	aDika	kam	aDikam	True
1035	aDikAma	maH	aDikAmaH	True
1037	aDikaraRam	RI	aDikaraRI	True
1045	aDikfta	taH	aDikftaH	True
1059	aDiguRa	RaH	aDiguRaH	True
1063	aDijihvaH	hvA	aDijihvA	True
1063	aDijihvaH	jihvikA	aDijihvikA	True
1087	aDipraja	jam	aDiprajam	True
1088	aDiprazwiyugam	gaH	aDiprazwiyugaH	True
1100	aDimAtra	tram	aDimAtram	True
1106	aDiyajYa	jYaH	aDiyajYaH	True
1106	aDiyajYa	jYam	aDiyajYam	True
1111	aDiraTa	TaH	aDiraTaH	True
1111	aDiraTa	Tam	aDiraTam	True
1121	aDirohaRam	RI	aDirohaRI	True
1122	aDirohin	RI	aDirohiRI	True
1141	aDivedaH	dam	aDivedam	True
1147	aDiSrayaRam	RI	aDiSrayaRI	True
1155	aDistri	strI	aDistrI	True
1168	aDyAya	yaH	aDyAyaH	True
1174	aDIra	rA	aDIrA	True
1178	aDIzwa	zwaH	aDIzwaH	True
1181	aDura	DUH	aDUH	False
1183	aDfta	taH	aDftaH	True
1189	aDErya	ryam	aDEryam	True
1191	aDyakza	kzaH	aDyakzaH	True
1192	aDyakzaram	ram	aDyakzaram	True
1200	aDyarDa	rDaH	aDyarDaH	True
1217	aDyAtma	tmam	aDyAtmam	True
1217	aDyAtma	tmam	aDyAtmam	True
1217	aDyAtma	tman	aDyAtman	True
1230	aDyAsita	tam	aDyAsitam	True
1238	aDyUQa	QaH	aDyUQaH	True
1238	aDyUQa	QA	aDyUQA	True
1242	aDyezaRam	RA	aDyezaRA	True
1245	aDruva	vam	aDruvam	True
1248	aDvanIna	naH	aDvanInaH	True
1248	aDvanIna	nyaH	aDvanyaH	True
1249	aDvara	raH	aDvaraH	True
1249	aDvara	raH	aDvaraH	True
1249	aDvara	ram	aDvaram	True
1254	aDvAntam	ntaH	aDvAntaH	True
1267	anakzara	ram	anakzaram	True
1269	anagAra	raH	anagAraH	True
1272	anaGa	GaH	anaGaH	True
1274	anaNga	NgaH	anaNgaH	True
1274	anaNga	Ngam	anaNgam	True
1279	anaYjana	nam	anaYjanam	True
1280	anaquh	hI	anaquhI	True
1283	anaRu	RuH	anaRuH	True
1287	anadyatana	naH	anadyatanaH	True
1292	anaDIna	naH	anaDInaH	True
1292	anaDIna	nakaH	anaDInakaH	True
1297	ananta	ntaH	anantaH	True
1297	ananta	ntA	anantA	True
1297	ananta	ntI	anantI	True
1297	ananta	ntam	anantam	True
1298	anantaka	kam	anantakam	True
1299	anantya	ntyam	anantyam	True
1301	anantara	ram	anantaram	True
1301	anantara	ram	anantaram	True
1306	ananda	ndaH	anandaH	True
1315	anapakAraH	kArin	anapakArakArin	False
1324	anaparADa	DaH	anaparADaH	True
1328	anapasara	raH	anapasaraH	True
