Lnum	basehw	suffix	resolution	in_sanhw1
1331	anapAya	yaH	anapAyaH	True
1335	anapekza	kzA	anapekzA	True
1335	anapekza	kzam	anapekzam	True
1345	anaBilAza	zaH	anaBilAzaH	True
1349	anaBihita	taH	anaBihitaH	True
1357	anamitra	tram	anamitram	True
1358	anamIva	vam	anamIvam	True
1359	anambara	raH	anambaraH	True
1366	anarGa	rGaH	anarGaH	True
1370	anarTa	rTaH	anarTaH	True
1371	anarTya	kam	anarTyakam	False
1381	anavakASa	SaH	anavakASaH	True
1387	anavadya	dyA	anavadyA	True
1389	anavaDAna	nam	anavaDAnam	True
1398	anavarata	tam	anavaratam	True
1400	anavalamba	mbaH	anavalambaH	True
1400	anavalamba	mbanam	anavalambanam	True
1403	anavasara	raH	anavasaraH	True
1405	anavasita	tA	anavasitA	True
1407	anavasTa	sTA	anavasTA	True
1408	anavasTAna	naH	anavasTAnaH	True
1408	anavasTAna	nam	anavasTAnam	True
1409	anavasTita	tam	anavasTitam	True
1417	anavrata	taH	anavrataH	True
1421	anaSva	SvaH	anaSvaH	True
1425	anasUya	yA	anasUyA	True
1427	anasTa	sTaH	anasTaH	True
1433	anAkASa	SaH	anAkASaH	True
1433	anAkASa	Sam	anAkASam	True
1437	anAkrAnta	tA	anAkrAntA	True
1439	anAga	gA	anAgA	True
1440	anAgata	tam	anAgatam	True
1442	anAgama	maH	anAgamaH	True
1448	anAcAra	raH	anAcAraH	True
1448	anAcAra	anAcaraRam	anAcaraRam	True
1450	anAtapa	paH	anAtapaH	True
1456	anAtmya	tmyam	anAtmyam	True
1458	anATa	Tam	anATam	True
1459	anAdara	raH	anAdaraH	True
1466	anAdfta	tam	anAdftam	True
1480	anApta	ptaH	anAptaH	True
1486	anAmaka	kaH	anAmakaH	True
1486	anAmaka	kama	anAmakam	True
1488	anAmaya	yaH	anAmayaH	True
1488	anAmaya	yam	anAmayam	True
1488	anAmaya	yaH	anAmayaH	True
1498	anAyAsa	saH	anAyAsaH	True
1501	anArata	tam	anAratam	True
1505	anArogya	gyam	anArogyam	True
1506	anArjava	vam	anArjavam	True
1507	anArtava	vA	anArtavA	True
1508	anArya	ryaH	anAryaH	True
1512	anAlamba	mbaH	anAlambaH	True
1512	anAlamba	mbI	anAlambI	True
1514	anAlApa	paH	anAlApaH	True
1528	anASaka	kam	anASakam	True
1534	anASraya	yaH	anASrayaH	True
1544	anAsvAda	daH	anAsvAdaH	True
1547	anAhata	tam	anAhatam	True
1547	anAhata	taH	anAhataH	True
1548	anAhAra	raH	anAhAraH	True
1557	anigraha	haH	anigrahaH	True
1562	anitya	tyam	anityam	True
1564	anidra	drA	anidrA	True
1572	anibADa	DaH	anibADaH	True
1578	animitta	ttam	animittam	True
1580	animiza	zaH	animizaH	True
1585	aniyukta	ktaH	aniyuktaH	True
1586	anira	rA	anirA	True
1592	anirudDa	dDaH	anirudDaH	True
1592	anirudDa	dDam	anirudDam	True
1597	anirdeSya	Syam	anirdeSyam	True
1602	anirvacanIya	yam	anirvacanIyam	True
1620	aniSa	Sam	aniSam	True
1624	anizwa	zwam	anizwam	True
1645	anISa	SaH	anISaH	True
1645	anISa	SA	anISA	True
1646	anISvara	ram	anISvaram	True
1647	anIha	haH	anIhaH	True
1647	anIha	hA	anIhA	True
1648	anIhita	tam	anIhitam	True
1658	anukampana	nam	anukampanam	True
1662	anukampya	mpyaH	anukampyaH	True
1665	anukAma	mam	anukAmam	True
1665	anukAma	maH	anukAmaH	True
1667	anukAla	lam	anukAlam	True
1669	anukUla	laH	anukUlaH	True
1669	anukUla	lA	anukUlA	True
1669	anukUla	lam	anukUlam	True
1674	anukara	raH	anukaraH	True
1680	anukArya	ryam	anukAryam	True
1680	anukArya	anukriyA	anukriyA	True
1683	anukfta	tam	anukftam	True
1697	anukrama	maH	anukramaH	True
1698	anukramaRam	RI	anukramaRI	True
1698	anukramaRam	RikA	anukramaRikA	True
1709	anuga	gaH	anugaH	True
1710	anugata	tam	anugatam	True
1716	anugarjita	tam	anugarjitam	True
1723	anuguRa	RaH	anuguRaH	True
1723	anuguRa	Ram	anuguRam	True
1739	anucaraH	rA	anucarA	True
1739	anucaraH	rI	anucarI	True
1740	anucarita	tam	anucaritam	True
1741	anucArakaH	rikA	anucArikA	True
1743	anucita	arTaH	anucitArTaH	True
1750	anuja	jaH	anujaH	True
1750	anuja	jAtaH	anujAtaH	True
1750	anuja	jA	anujA	True
1750	anuja	jAtA	anujAtA	True
1750	anuja	jam	anujam	True
1761	anujyezWa	zWam	anujyezWam	True
1770	anutila	lam	anutilam	True
1779	anuttama	maH	anuttamaH	True
1780	anuttara	ram	anuttaram	True
1780	anuttara	rAH	anuttarAH	True
1780	anuttara	upapAtikadaSAH	anuttaropapAtikadaSAH	True
1780	anuttara	rA	anuttarA	True
1784	anutpattiH	ttika	anutpattika	True
1787	anutsAha	haH	anutsAhaH	True
1798	anudAtta	ttaH	anudAttaH	True
1803	anudiS	anudiSam	anudiSam	True
1808	anudfzwi	zwiH	anudfzwiH	True
1820	anudyoga	gaH	anudyogaH	True
1822	anudruta	tam	anudrutam	True
1825	anudvega	gaH	anudvegaH	True
1831	anuDyAna	tam	anuDyAtam	True
1831	anuDyAna	nam	anuDyAnam	True
1839	anunAsika	kam	anunAsikam	True
1845	anunaya	yaH	anunayaH	True
1845	anunaya	yam	anunayam	True
1849	anunAyika	kA	anunAyikA	True
1856	anupagIta	tam	anupagItam	True
1863	anupatanam	tam	anupAtam	True
1865	anupaTa	TaH	anupaTaH	True
1865	anupaTa	Tam	anupaTam	True
1868	anupada	daH	anupadaH	True
1868	anupada	dam	anupadam	True
1879	anupama	matiH	anupamamatiH	True
1879	anupama	mA	anupamA	True
1883	anupayoga	gaH	anupayogaH	True
1901	anupasTita	tam	anupasTitam	True
1906	anupAnIya	yam	anupAnIyam	True
1924	anupUrvya	rvI	anupUrvI	True
1957	anubanDaH	DI	anubanDI	True
1983	anuBU	BUH	anuBUH	True
1992	anumata	taH	anumataH	True
1992	anumata	tam	anumatam	True
2013	anumAsaH	sam	anumAsam	True
2021	anuyA	yAH	anuyAH	True
2023	anuyAtram	tram	anuyAtram	True
2036	anuyojya	jyaH	anuyojyaH	True
2044	anurAga	gaH	anurAgaH	True
2045	anurAgin	RI	anurAgiRI	True
2053	anurahasa	sam	anurahasam	True
2054	anurAtra	tram	anurAtram	True
2056	anurADa	DaH	anurADaH	True
2056	anurADa	DA	anurADA	True
2065	anurUpa	pam	anurUpam	True
2065	anurUpa	paH	anurUpaH	True
2075	anuloma	mA	anulomA	True
2075	anuloma	mam	anulomam	True
2075	anuloma	mAH	anulomAH	True
2079	anuvaMSaH	Sam	anuvaMSam	True
2089	anUkta	ktam	anUktam	True
2089	anUkta	ktiH	anUktiH	True
2094	anuvAdaka	n	anuvAdin	True
2098	anuvaSa	SaH	anuvaSaH	True
2130	anuvftta	ttam	anuvfttam	True
2134	anuvellita	tam	anuvellitam	True
2147	anuvrata	taH	anuvrataH	True
2147	anuvrata	tA	anuvratA	True
2162	anuSayaH	yI	anuSayI	True
2163	anuSayAna	nA	anuSayAnA	True
2193	anuzWAnam	nI	anuzWAnI	True
2200	anuzRa	zRaH	anuzRaH	True
2200	anuzRa	zRA	anuzRA	True
2200	anuzRa	zRam	anuzRam	True
2201	anuzvaDa	Dam	anuzvaDam	True
2211	anusaMhita	tam	anusaMhitam	True
2243	anustaraRam	RI	anustaraRI	True
2248	anusPura	sPur	anusPur	True
2255	anusvAraH	vyavAyaH	anusvAravyavAyaH	True
2261	anuhArya	ryaH	anuhAryaH	True
2263	anUkaH	kam	anUkam	True
2263	anUkaH	kA	anUkA	True
2270	anUQa	QA	anUQA	True
2276	anUpa	paH	anUpaH	True
2276	anUpa	pam	anUpam	True
2280	anUru	ruH	anUruH	True
2295	anfta	tam	anftam	True
2319	anokaha	haH	anokahaH	True
2328	anta	taH	antaH	True
2329	antaka	kaH	antakaH	True
2335	antara	ram	antaram	True
2337	antaratama	maH	antaratamaH	True
2368	anti	tiH	antiH	True
2370	antika	kam	antikam	True
2370	antika	kaH	antikaH	True
2374	antya	ntyaH	antyaH	True
2374	antya	ntyA	antyA	True
2374	antya	ntyam	antyam	True
2376	antram	ntrI	antrI	True
2385	anDa	nDam	anDam	True
2385	anDa	DaH	anDaH	True
2385	anDa	nDAH	annDAH	False
2388	anDaka	kaH	anDakaH	True
2396	annam	nnaH	annaH	True
2397	annamaya	yam	annamayam	True
2419	anyedyuzka	zkaH	anyedyuzkaH	True
2420	anyonya	nyam	anyonyam	True
2420	anyonya	nyam	anyonyam	True
2423	anyAya	yaH	anyAyaH	True
2428	anvakza	kzam	anvakzam	True
2464	anvAyatana	nam	anvAyatanam	True
2488	anviti	tiH	anvitiH	True
2503	apakAmaH	mam	apakAmam	True
2511	apakAraka	kaH	apakArakaH	True
2511	apakAraka	rI	apakArI	True
2512	apakfta	tam	apakftam	True
2518	apakarzaRa	Ram	apakarzaRam	True
2519	apakfzwa	zwaH	apakfzwaH	True
2540	apaga	gA	apagA	True
2559	apacarita	tam	apacaritam	True
2567	apacita	tam	apacitam	True
2572	apacCAya	yaH	apacCAyaH	True
2572	apacCAya	yA	apacCAyA	True
2594	apati	tiH	apatiH	True
2601	apattra	ttraH	apattraH	True
2601	apattra	ttrA	apattrA	True
2603	apatrapa	pA	apatrapA	True
2603	apatrapa	paRam	apatrapaRam	True
2607	apaTa	Tam	apaTam	True
2607	apaTa	TaH	apaTaH	True
2607	apaTa	TA	apaTA	True
2607	apaTa	Tam	apaTam	True
2610	apada	daH	apadaH	True
2610	apada	dam	apadam	True
2636	apaDvasta	staH	apaDvastaH	True
2637	apaDvAnta	ntam	apaDvAntam	True
2644	apanIta	tam	apanItam	True
2655	apapUta	tO	apapUtO	False
2671	apama	maH	apamaH	True
2679	apamitya	tyam	apamityam	True
2679	apamitya	tyakam	apamityakam	True
2680	apamuKa	Kam	apamuKam	True
2690	apara	raH	aparaH	True
2690	apara	rA	aparA	True
2690	apara	rI	aparI	True
2690	apara	ram	aparam	True
2690	apara	ram	aparam	True
2705	aparAjita	taH	aparAjitaH	True
2705	aparAjita	tA	aparAjitA	True
2708	aparAdDa	dDam	aparAdDam	True
2717	aparigraha	haH	aparigrahaH	True
2729	aparimlAna	naH	aparimlAnaH	True
2733	apariSeza	zaH	apariSezaH	True
2737	aparisara	raH	aparisaraH	True
2744	aparIta	taH	aparItaH	True
2746	aparUpa	pam	aparUpam	True
2747	aparokza	kzam	aparokzam	True
2751	aparRa	rRA	aparRA	True
2752	apartu	rtuH	apartuH	True
2757	aparyAya	yaH	aparyAyaH	True
2760	apala	lam	apalam	True
2776	apavana	nam	apavanam	True
2790	apaviza	zA	apavizA	True
2791	apavIRa	RA	apavIRA	True
2797	apavArita	tam, apavAritakam	apavAritam	True
2797	apavArita	tam, apavAritakena, apavArya	apavAritam	True
2809	apavftta	ttam	apavfttam	True
2812	apavidDa	dDaH	apavidDaH	True
2818	apaSaNka	Nkam	apaSaNkam	True
2824	apaSu	SuH	apaSuH	True
2827	apaSoka	kaH	apaSokaH	True
2834	apazWu	zWu	apazWu	True
2834	apazWu	zWuH	apazWuH	True
2838	apasya	syA	apasyA	True
2847	apasavya	vyam	apasavyam	True
2901	apahAraka	kaH	apahArakaH	True
2908	apAka	kaH	apAkaH	True
2918	apANga	NgaH	apANgaH	True
2918	apANga	NgakaH	apANgakaH	True
2919	apAc	k	apAk	True
2923	apAwava	vam	apAwavam	True
2934	apAnaH	naH	apAnaH	True
2934	apAnaH	nam	apAnam	True
2943	apAra	raH	apAraH	True
2943	apAra	ram	apAram	True
2943	apAra	rA	apArA	True
2943	apAra	pAra	apAra	True
2947	apArTa	rTam	apArTam	True
2956	apAvftta	ttam	apAvfttam	True
2959	apASraya	yaH	apASrayaH	True
2962	apAzWaH	zWam	apAzWam	True
2972	apikakzaH	kzam	apikakzam	True
2977	apija	jaH	apijaH	True
2985	apiDiH	DiH	apiDiH	True
2986	apihita	tam	apihitam	True
2992	apiSarvara	ram	apiSarvaram	True
3008	apucCa	cCA	apucCA	True
3010	aputraH	putrakaH	aputrakaH	True
3011	aputrikA	kaH	aputrikaH	True
3017	apuzpa	zpaH	apuzpaH	True
3021	apUpaH	SAlA	apUpaSAlA	True
3022	apUpIya	pyam	apUpyam	True
3025	apUrRa	rRam	apUrRam	True
3027	apUrva	rvam	apUrvam	True
3027	apUrva	rvaH	apUrvaH	True
3034	apfkta	ktaH	apfktaH	True
3045	apekzita	tam	apekzitam	True
3051	apodaka	kam	apodakam	True
3052	apodikA	kI	apodikI	True
3058	apOruza	zam	apOruzam	True
