Lnum	basehw	suffix	resolution
606	atigraha	haH	atigrahaH
606	atigraha	grAhaH	atigrAhaH
607	atigrAhya	hyaH	atigrAhyaH
609	atiGna	GnI	atiGnI
612	aticara	rA	aticarA
619	aticCandaH	s	aticCandas
622	atijAgara	raH	atijAgaraH
629	atitIvra	kzRaH	atitIkzRaH
629	atitIvra	kzRA	atitIkzRA
629	atitIvra	vrA	atitIvrA
630	atitfzRA	zRa	atitfzzRa
637	atidagDa	gDam	atidagDam
653	atinidrA	dra	atiniddra
653	atinidrA	dram	atiniddram
660	atipAtita	tam	atipAtitam
669	atipara	raH	atiparaH
681	atibala	laH	atibalaH
681	atibala	lam	atibalam
681	atibala	lA	atibalA
682	atibAlaka	kaH	atibAlakaH
685	atibrahmacaryam	ryaH	atibrahmacaryaH
695	atimaNgalya	lyaH	atimaNgalyaH
702	atimAtra	tram	atimAtram
702	atimAtra	mAtraSaH	atimAtraSaH
704	atimAruta	taH	atimArutaH
704	atimAruta	vAtaH	ativAtaH
707	atimukta	ktaH	atimuktaH
707	atimukta	ktakaH	atimuktakaH
709	atimftyu	tyuH	atimftyuH
716	atirakta	ktA	atiraktA
722	atirAtra	traH	atirAtraH
726	atiruc	k	atiruk
727	atirucira	rA	atirucirA
728	atirUkza	kzaH	atirUkzaH
729	atirUpa	pam	atirUpam
729	atirUpa	paH	atirUpaH
734	atiromaSa	SaH	atiromaSaH
734	atiromaSa	SA	atiromaSA
741	ativakra	kraH	ativakraH
745	ativartula	laH	ativartulaH
751	ativAhita	taH	ativAhitaH
751	ativAhita	tam	ativAhitam
755	ativikawa	waH	ativikawaH
756	ativiza	zA	ativizA
763	ativfdDa	dDaH	ativfdDaH
763	ativfdDa	dDA	ativfdDA
768	ativela	lam	ativelam
778	atiSayana	nam	atiSayanam
778	atiSayana	nI	atiSayanI
783	atiSAyin	nI	atiSAyinI
786	atiSva	SvA	atiSvA
786	atiSva	SvaH	atiSvaH
789	atizWA	zwA	atizWA
795	atisarva	rvaH	atisarvaH
800	atisara	raH	atisaraH
807	atisOraBa	Bam	atisOraBam
807	atisOraBa	BaH	atisOraBaH
809	atisparSa	rSaH	atisparSaH
813	atIta	tam	atItam
818	atIndriya	yaH	atIndriyaH
818	atIndriya	yam	atIndriyam
822	atula	laH	atulaH
826	atUrta	rtam	atUrtam
830	atejas	s	atejas
840	atyagni	gniH	atyagniH
845	atyanta	tam	atyantam
847	atyantika	kam	atyantikam
849	atyamla	mlaH	atyamlaH
849	atyamla	mlA, ˚parRI	atyamlaparRI
851	atyarTa	rTam	atyarTam
858	atyAcAra	raH	atyAcAraH
862	atyAya	yaH	atyAyaH
864	atyArUQa	Qam	atyArUQam
864	atyArUQa	QiH	atyArUQiH
872	atyugra	gram	atyugram
876	atyUhaH	hA	atyUhA
879	atra	traH	atraH
879	atra	tram	atram
884	atri	triH	atriH
884	atri	atrI	atrI
896	aTarvan	rvA	aTarvA
896	aTarvan	rva	aTarva
899	aTarvANgirasa	sam	aTarvANgirasam
899	aTarvANgirasa	sAH	aTarvANgirasAH
900	aTarvARam	RaH	aTarvARaH
900	aTarvARam	˚vid	aTarvARaMvid
907	adaMzwra	zwraH	adaMzwraH
914	adatta	ttA	adattA
914	adatta	ttam	adattam
917	adanta	taH	adantaH
921	adamBa	BaH	adamBaH
922	adaya	yam	adayam
925	adala	laH	adalaH
925	adala	lA	adalA
933	adABya	ByaH	adAByaH
942	aditi	tiH	aditiH
942	aditi	tiH	aditiH
942	aditi	tI	aditI
951	adUra	ram	adUram
956	adfzwa	zwaH	adfzwaH
956	adfzwa	zwam	adfzwam
958	adeya	yam	adeyam
959	adeva	vaH	adevaH
969	adoza	zaH	adozaH
973	adButa	tam	adButam
973	adButa	taH	adButaH
974	adman	sad	admasad
977	adya	dyam	adyam
979	adyatana	naH	adyatanaH
979	adyatana	nI	adyatanI
983	adyUtya	adyUtyam	adyUtyam
984	adrava	vaH	adravaH
990	adroGa	Gam	adroGam
993	advaya	yaH	advayaH
993	advaya	yam	advayam
999	advitIya	yam	advitIyam
1001	adveza	zaH	advezaH
1003	advEta	tam	advEtam
1009	aDama	maH	aDamaH
1009	aDama	mA	aDamA
1010	aDara	raH	aDaraH
1010	aDara	rA	aDarA
1010	aDara	ram	aDaram
1016	aDarAYc	YcI	aDarAYcI
1016	aDarAYc	k	aDarAk
1018	aDarmaH	rmA	aDarmA
1018	aDarmaH	rmam	aDarmam
1034	aDika	kam	aDikam
1035	aDikAma	maH	aDikAmaH
1037	aDikaraRam	RI	aDikaraRI
1045	aDikfta	taH	aDikftaH
1059	aDiguRa	RaH	aDiguRaH
1063	aDijihvaH	hvA	aDijihvA
1063	aDijihvaH	jihvikA	aDijihvikA
1087	aDipraja	jam	aDiprajam
1088	aDiprazwiyugam	gaH	aDiprazwiyugaH
1100	aDimAtra	tram	aDimAtram
1106	aDiyajYa	jYaH	aDiyajYaH
1106	aDiyajYa	jYam	aDiyajYam
1111	aDiraTa	TaH	aDiraTaH
1111	aDiraTa	Tam	aDiraTam
1121	aDirohaRam	RI	aDirohaRI
1122	aDirohin	RI	aDirohiRI
1141	aDivedaH	dam	aDivedam
1147	aDiSrayaRam	RI	aDiSrayaRI
1155	aDistri	strI	aDistrI
1168	aDyAya	yaH	aDyAyaH
1174	aDIra	rA	aDIrA
1178	aDIzwa	zwaH	aDIzwaH
1181	aDura	DUH	aDUH
1183	aDfta	taH	aDftaH
1189	aDErya	ryam	aDEryam
1191	aDyakza	kzaH	aDyakzaH
1192	aDyakzaram	ram	aDyakzaram
1200	aDyarDa	rDaH	aDyarDaH
1217	aDyAtma	tmam	aDyAtmam
1217	aDyAtma	tmam	aDyAtmam
1217	aDyAtma	tman	aDyAtman
1230	aDyAsita	tam	aDyAsitam
1238	aDyUQa	QaH	aDyUQaH
1238	aDyUQa	QA	aDyUQA
1242	aDyezaRam	RA	aDyezaRA
1245	aDruva	vam	aDruvam
1248	aDvanIna	naH	aDvanInaH
1248	aDvanIna	nyaH	aDvanyaH
1249	aDvara	raH	aDvaraH
1249	aDvara	raH	aDvaraH
1249	aDvara	ram	aDvaram
1254	aDvAntam	ntaH	aDvAntaH
1267	anakzara	ram	anakzaram
1269	anagAra	raH	anagAraH
1272	anaGa	GaH	anaGaH
1274	anaNga	NgaH	anaNgaH
1274	anaNga	Ngam	anaNgam
1279	anaYjana	nam	anaYjanam
1280	anaquh	hI	anaquhI
1283	anaRu	RuH	anaRuH
1287	anadyatana	naH	anadyatanaH
1292	anaDIna	naH	anaDInaH
1292	anaDIna	nakaH	anaDInakaH
1297	ananta	ntaH	anantaH
1297	ananta	ntA	anantA
1297	ananta	ntI	anantI
1297	ananta	ntam	anantam
1298	anantaka	kam	anantakam
1299	anantya	ntyam	anantyam
1301	anantara	ram	anantaram
1301	anantara	ram	anantaram
1306	ananda	ndaH	anandaH
1315	anapakAraH	kArin	anapakArakArin
1324	anaparADa	DaH	anaparADaH
1328	anapasara	raH	anapasaraH
1331	anapAya	yaH	anapAyaH
1335	anapekza	kzA	anapekzA
1335	anapekza	kzam	anapekzam
1345	anaBilAza	zaH	anaBilAzaH
1349	anaBihita	taH	anaBihitaH
1357	anamitra	tram	anamitram
1358	anamIva	vam	anamIvam
1359	anambara	raH	anambaraH
1366	anarGa	rGaH	anarGaH
1370	anarTa	rTaH	anarTaH
1371	anarTya	kam	anarTyakam
1381	anavakASa	SaH	anavakASaH
1387	anavadya	dyA	anavadyA
1389	anavaDAna	nam	anavaDAnam
1398	anavarata	tam	anavaratam
1400	anavalamba	mbaH	anavalambaH
1400	anavalamba	mbanam	anavalambanam
1403	anavasara	raH	anavasaraH
1405	anavasita	tA	anavasitA
1407	anavasTa	sTA	anavasTA
1408	anavasTAna	naH	anavasTAnaH
1408	anavasTAna	nam	anavasTAnam
1409	anavasTita	tam	anavasTitam
1417	anavrata	taH	anavrataH
1421	anaSva	SvaH	anaSvaH
1425	anasUya	yA	anasUyA
1427	anasTa	sTaH	anasTaH
1433	anAkASa	SaH	anAkASaH
1433	anAkASa	Sam	anAkASam
1437	anAkrAnta	tA	anAkrAntA
1439	anAga	gA	anAgA
1440	anAgata	tam	anAgatam
1442	anAgama	maH	anAgamaH
1448	anAcAra	raH	anAcAraH
1448	anAcAra	anAcaraRam	anAcaraRam
1450	anAtapa	paH	anAtapaH
1456	anAtmya	tmyam	anAtmyam
1458	anATa	Tam	anATam
1459	anAdara	raH	anAdaraH
1466	anAdfta	tam	anAdftam
1480	anApta	ptaH	anAptaH
1486	anAmaka	kaH	anAmakaH
1486	anAmaka	kama	anAmakam
1488	anAmaya	yaH	anAmayaH
1488	anAmaya	yam	anAmayam
1488	anAmaya	yaH	anAmayaH
1498	anAyAsa	saH	anAyAsaH
1501	anArata	tam	anAratam
1505	anArogya	gyam	anArogyam
1506	anArjava	vam	anArjavam
1507	anArtava	vA	anArtavA
1508	anArya	ryaH	anAryaH
1512	anAlamba	mbaH	anAlambaH
1512	anAlamba	mbI	anAlambI
1514	anAlApa	paH	anAlApaH
1528	anASaka	kam	anASakam
1534	anASraya	yaH	anASrayaH
1544	anAsvAda	daH	anAsvAdaH
1547	anAhata	tam	anAhatam
1547	anAhata	taH	anAhataH
1548	anAhAra	raH	anAhAraH
1557	anigraha	haH	anigrahaH
1562	anitya	tyam	anityam
1564	anidra	drA	anidrA
1572	anibADa	DaH	anibADaH
1578	animitta	ttam	animittam
1580	animiza	zaH	animizaH
1585	aniyukta	ktaH	aniyuktaH
1586	anira	rA	anirA
1592	anirudDa	dDaH	anirudDaH
1592	anirudDa	dDam	anirudDam
1597	anirdeSya	Syam	anirdeSyam
1602	anirvacanIya	yam	anirvacanIyam
1620	aniSa	Sam	aniSam
1624	anizwa	zwam	anizwam
1645	anISa	SaH	anISaH
1645	anISa	SA	anISA
1646	anISvara	ram	anISvaram
1647	anIha	haH	anIhaH
1647	anIha	hA	anIhA
1648	anIhita	tam	anIhitam
1658	anukampana	nam	anukampanam
1662	anukampya	mpyaH	anukampyaH
1665	anukAma	mam	anukAmam
1665	anukAma	maH	anukAmaH
1667	anukAla	lam	anukAlam
1669	anukUla	laH	anukUlaH
1669	anukUla	lA	anukUlA
1669	anukUla	lam	anukUlam
1674	anukara	raH	anukaraH
1680	anukArya	ryam	anukAryam
1680	anukArya	anukriyA	anukriyA
1683	anukfta	tam	anukftam
1697	anukrama	maH	anukramaH
1698	anukramaRam	RI	anukramaRI
1698	anukramaRam	RikA	anukramaRikA
1709	anuga	gaH	anugaH
1710	anugata	tam	anugatam
1716	anugarjita	tam	anugarjitam
1723	anuguRa	RaH	anuguRaH
1723	anuguRa	Ram	anuguRam
1739	anucaraH	rA	anucarA
1739	anucaraH	rI	anucarI
1740	anucarita	tam	anucaritam
1741	anucArakaH	rikA	anucArikA
1743	anucita	arTaH	anucitArTaH
1750	anuja	jaH	anujaH
1750	anuja	jAtaH	anujAtaH
1750	anuja	jA	anujA
1750	anuja	jAtA	anujAtA
1750	anuja	jam	anujam
1761	anujyezWa	zWam	anujyezWam
1770	anutila	lam	anutilam
1779	anuttama	maH	anuttamaH
1780	anuttara	ram	anuttaram
1780	anuttara	rAH	anuttarAH
1780	anuttara	upapAtikadaSAH	anuttaropapAtikadaSAH
1780	anuttara	rA	anuttarA
1784	anutpattiH	ttika	anutoattuja
1787	anutsAha	haH	anutsAhaH
1798	anudAtta	ttaH	anudAttaH
1803	anudiS	anudiSam	anudiSam
1808	anudfzwi	zwiH	anudfzwiH
1820	anudyoga	gaH	anudyogaH
1822	anudruta	tam	anudrutam
1825	anudvega	gaH	anudvegaH
1831	anuDyAna	tam	anuDyAtam
1831	anuDyAna	nam	anuDyAnam
1839	anunAsika	kam	anunAsikam
1845	anunaya	yaH	anunayaH
1845	anunaya	yam	anunayam
1849	anunAyika	kA	anunAyikA
1856	anupagIta	tam	anupagItam
1863	anupatanam	tam	anupatatam
1865	anupaTa	TaH	anupaTaH
1865	anupaTa	Tam	anupaTam
1868	anupada	daH	anupadaH
1868	anupada	dam	anupadam
1879	anupama	matiH	anupamamatiH
1879	anupama	mA	anupamA
1883	anupayoga	gaH	anupayogaH
1901	anupasTita	tam	anupasTitam
1906	anupAnIya	yam	anupAnIyam
1924	anupUrvya	rvI	anupUrvI
1957	anubanDaH	DI	anubanDI
1983	anuBU	BUH	anuBUH
1992	anumata	taH	anumataH
1992	anumata	tam	anumatam
2013	anumAsaH	sam	anumAsam
2021	anuyA	yAH	anuyAH
2023	anuyAtram	tram	anuyAtram
2036	anuyojya	jyaH	anuyojyaH
2044	anurAga	gaH	anurAgaH
2045	anurAgin	RI	anurAgiRI
2053	anurahasa	sam	anurahasam
2054	anurAtra	tram	anurAtram
2056	anurADa	DaH	anurADaH
2056	anurADa	DA	anurADA
2065	anurUpa	pam	anurUpam
2065	anurUpa	paH	anurUpaH
2075	anuloma	mA	anulomA
2075	anuloma	mam	anulomam
2075	anuloma	mAH	anulomAH
2079	anuvaMSaH	Sam	anuvaMSam
2089	anUkta	ktam	anUktam
2089	anUkta	ktiH	anUktiH
2094	anuvAdaka	n	anuvAdin
2098	anuvaSa	SaH	anuvaSaH
2130	anuvftta	ttam	anuvfttam
2134	anuvellita	tam	anuvellitam
2147	anuvrata	taH	anuvrataH
2147	anuvrata	tA	anuvratA
2162	anuSayaH	yI	anuSayI
2163	anuSayAna	nA	anuSayAnA
2193	anuzWAnam	nI	anuzWAnI
2200	anuzRa	zRaH	anuzRaH
2200	anuzRa	zRA	anuzRA
2200	anuzRa	zRam	anuzRam
2201	anuzvaDa	Dam	anuzvaDam
2211	anusaMhita	tam	anusaMhitam
2243	anustaraRam	RI	anustaraRI
2248	anusPura	sPur	anusPur
2255	anusvAraH	vyavAyaH	anusvAravyavAyaH
2261	anuhArya	ryaH	anuhAryaH
2263	anUkaH	kam	anUkam
2263	anUkaH	kA	anUkA
2270	anUQa	QA	anUQA
2276	anUpa	paH	anUpaH
2276	anUpa	pam	anUpam
2280	anUru	ruH	anUruH
2295	anfta	tam	anftam
2319	anokaha	haH	anokahaH
2328	anta	taH	antaH
2329	antaka	kaH	antakaH
2335	antara	ram	antaram
2337	antaratama	maH	antaratamaH
2368	anti	tiH	antiH
2370	antika	kam	antikam
2370	antika	kaH	antikaH
2374	antya	ntyaH	antyaH
2374	antya	ntyA	antyA
2374	antya	ntyam	antyam
2376	antram	ntrI	antrI
2385	anDa	nDam	anDam
2385	anDa	DaH	anDaH
2385	anDa	nDAH	annDAH
2388	anDaka	kaH	anDakaH
2396	annam	nnaH	annaH
2397	annamaya	yam	annamayam
2419	anyedyuzka	zkaH	anyedyuzkaH
2420	anyonya	nyam	anyonyam
2420	anyonya	nyam	anyonyam
2423	anyAya	yaH	anyAyaH
2428	anvakza	kzam	anvakzam
2464	anvAyatana	nam	anvAyatanam
2488	anviti	tiH	anvitiH
2503	apakAmaH	mam	apakAmam
2511	apakAraka	kaH	apakArakaH
2511	apakAraka	rI	apakArI
2512	apakfta	tam	apakftam
2518	apakarzaRa	Ram	apakarzaRam
2519	apakfzwa	zwaH	apakfzwaH
2540	apaga	gA	apagA
2559	apacarita	tam	apacaritam
2567	apacita	tam	apacitam
2572	apacCAya	yaH	apacCAyaH
2572	apacCAya	yA	apacCAyA
2594	apati	tiH	apatiH
2601	apattra	ttraH	apattraH
2601	apattra	ttrA	apattrA
2603	apatrapa	pA	apatrapA
2603	apatrapa	paRam	apatrapaRam
2607	apaTa	Tam	apaTam
2607	apaTa	TaH	apaTaH
2607	apaTa	TA	apaTA
2607	apaTa	Tam	apaTam
2610	apada	daH	apadaH
2610	apada	dam	apadam
2636	apaDvasta	staH	apaDvastaH
2637	apaDvAnta	ntam	apaDvAntam
2644	apanIta	tam	apanItam
2655	apapUta	tO	apapUtO
2671	apama	maH	apamaH
2679	apamitya	tyam	apamityam
2679	apamitya	tyakam	apamityakam
2680	apamuKa	Kam	apamuKam
2690	apara	raH	aparaH
2690	apara	rA	aparA
2690	apara	rI	aparI
2690	apara	ram	aparam
2690	apara	ram	aparam
2705	aparAjita	taH	aparAjitaH
2705	aparAjita	tA	aparAjitA
2708	aparAdDa	dDam	aparAdDam
2717	aparigraha	haH	aparigrahaH
2729	aparimlAna	naH	aparimlAnaH
2733	apariSeza	zaH	apariSezaH
2737	aparisara	raH	aparisaraH
2744	aparIta	taH	aparItaH
2746	aparUpa	pam	aparUpam
2747	aparokza	kzam	aparokzam
2751	aparRa	rRA	aparRA
2752	apartu	rtuH	apartuH
2757	aparyAya	yaH	aparyAyaH
2760	apala	lam	apalam
2776	apavana	nam	apavanam
2790	apaviza	zA	apavizA
2791	apavIRa	RA	apavIRA
2797	apavArita	tam, apavAritakam	apavAritam
2797	apavArita	tam, apavAritakena, apavArya	apavAritam
2809	apavftta	ttam	apavfttam
2812	apavidDa	dDaH	apavidDaH
2818	apaSaNka	Nkam	apaSaNkam
2824	apaSu	SuH	apaSuH
2827	apaSoka	kaH	apaSokaH
2834	apazWu	zWu	apazWu
2834	apazWu	zWuH	apazWuH
2838	apasya	syA	apasyA
2847	apasavya	vyam	apasavyam
2901	apahAraka	kaH	apahArakaH
2908	apAka	kaH	apAkaH
2918	apANga	NgaH	apANgaH
2918	apANga	NgakaH	apANgakaH
2919	apAc	k	apAk
2923	apAwava	vam	apAwavam
2934	apAnaH	naH	apAnaH
2934	apAnaH	nam	apAnam
2943	apAra	raH	apAraH
2943	apAra	ram	apAram
2943	apAra	rA	apArA
2943	apAra	pAra	apAra
2947	apArTa	rTam	apArTam
2956	apAvftta	ttam	apAvfttam
2959	apASraya	yaH	apASrayaH
2962	apAzWaH	zWam	apAzWam
2972	apikakzaH	kzam	apikakzam
2977	apija	jaH	apijaH
2985	apiDiH	DiH	apiDiH
2986	apihita	tam	apihitam
2992	apiSarvara	ram	apiSarvaram
3008	apucCa	cCA	apucCA
3010	aputraH	putrakaH	aputrakaH
3011	aputrikA	kaH	aputrikaH
3017	apuzpa	zpaH	apuzpaH
3021	apUpaH	SAlA	apUpaSAlA
3022	apUpIya	pyam	apUpyam
3025	apUrRa	rRam	apUrRam
3027	apUrva	rvam	apUrvam
3027	apUrva	rvaH	apUrvaH
3034	apfkta	ktaH	apfktaH
3045	apekzita	tam	apekzitam
3051	apodaka	kam	apodakam
3052	apodikA	kI	apodikI
3058	apOruza	zam	apOruzam
3058	apOruza	zeyam	apOruzeyam
3061	aptu	ptuH	aptuH
3067	apnavAna	naH	apnavAnaH
3080	aprakARqa	RqaH	aprakARqaH
3081	aprakASa	Sam	aprakASam
3081	aprakASa	Se	aprakASe
3081	aprakASa	SaH	aprakASaH
3084	aprakfta	tam	aprakftam
3084	aprakfta	taH	aprakftaH
3086	aprakfzwa	zwaH	aprakfzwaH
3098	apraja	jA	aprajA
3099	aprajas	tA	aprajastA
3102	apraRIta	tam	apraRItam
3109	apratikAra	raH	apratikAraH
3121	apratiBa	BA	apratiBA
3122	apratiBawa	waH	apratiBawaH
3127	apratiraTa	TaH	apratiraTaH
3127	apratiraTa	TaH	apratiraTaH
3127	apratiraTa	Tam	apratiraTam
3133	apratizWa	zWaH	apratizWaH
3133	apratizWa	zWA	apratizWA
3133	apratizWa	zWam	apratizWam
3134	apratizWAna	nam	apratizWAnam
3135	apratizWita	taH	apratizWitaH
3143	apratta	ttA	aprattA
3145	apratyaya	yaH	apratyayaH
3149	apraDAna	nam	apraDAnam
3157	apramAda	daH	apramAdaH
3157	apramAda	dam	apramAdam
3157	apramAda	tA	apramAdatA
3157	apramAda	din	apramAdin
3160	apramARa	Ram	apramARam
3165	aprameya	yam	aprameyam
3167	aprayatna	tnaH	aprayatnaH
3179	apravIta	tA	apravItA
3185	aprasanna	nnam	aprasannam
3187	aprasava	vaH	aprasavaH
3202	aprAjYa	jYatA	aprAjYatA
3205	aprARa	RaH	aprARaH
3213	apriya	yaH	apriyaH
3213	apriya	yA	apriyA
3213	apriya	yam	apriyam
3219	aprOQa	QA	aprOQA
3222	apva	pvA	apvA
3223	apsaH	psam	apsam
3229	apsu	kzit	apsukzit
3229	apsu	cara	apsucara
3229	apsu	ja	apsuja
3229	apsu	jA	apsujA
3229	apsu	jit	apsujit
3229	apsu	mat	apsumat
3229	apsu	yoni	apsuyoni
3230	aPala	laH	aPalaH
3230	aPala	lA	aPalA
3232	aPena	nam	aPenam
3234	abadDa	dDaH	abadDaH
3242	abala	laH	abalaH
3242	abala	lA	abalA
3242	abala	lam	abalam
3245	abADa	DA	abADA
3245	abADa	DaH	abADaH
3251	abIja	jaH	abIjaH
3251	abIja	jA	abIjA
3251	abIja	jam	abIjam
3252	abudDa	dDaH	abudDaH
3252	abudDa	dDam	abudDam
3256	aboDa	DaH	aboDaH
3258	abuDna	Dnam	abuDnam
3259	abja	bjaH	abjaH
3259	abja	bjam	abjam
3264	abda	bdaH	abdaH
3271	abBakza	kzaH	abBakzaH
3274	abrahmacarya	ryam	abrahmacaryam
3274	abrahmacarya	ryakam	abrahmacaryakam
3275	abrahmaRya	Ryam	abrahmaRyam
3278	abrAhmaRa	RaH	abrAhmaRaH
3282	aBakta	ktam	aBaktam
3285	aBakzya	kzyam	aBakzyam
3287	aBaNga	NgaH	aBaNgaH
