Lnum	basehw	suffix	resolution
5	aMSakaH	kam	aMSakam
13	aMSumat	tI	aMSumatI
15	aMSula	laH	aMSulaH
22	aMhUraRa	Ram	aMhUraRam
29	aMhu	hu	aMhu
29	aMhu	Beda	aMhuBeda
29	aMhu	dI	aMhuBedI
34	akaca	caH	akacaH
39	akanizWa	zWaH	akanizWaH
41	akampana	naH	akampanaH
42	akampita	taH	akampitaH
43	akara	rA	akarA
44	akaraRam	Ra	akaraRa
46	akarRa	rRaH	akarRaH
55	akalaNka	kaH	akalaNkaH
56	akalka	lkA	akalkA
59	akalpa	lpaH	akalpaH
63	akalya	SarIra	akalyaSarIra
64	akalyARa	Ram	akalyARam
73	akAya	yaH	akAyaH
74	akAra	raH	akAraH
75	akAraRa	Ram	akAraRam
75	akAraRa	akAraRAd	akArarAd
75	akAraRa	raRam	akAraRam
75	akAraRa	Re	akAraRe
78	akArya	ryam	akAryam
79	akAla	laH	akAlaH
82	akiMcana	nam	akiMcanam
94	akula	laH	akulaH
94	akula	lam	akulam
94	akula	lA	akulA
96	akuSala	lam	akuSalam
99	akUpAra	raH	akUpAraH
101	akUrca	rcaH	akUrcaH
102	akfcCra	cCram	akfcCram
103	akfta	tA	akftA
103	akfta	tam	akftam
105	akftya	tyam	akftyam
113	akfzRa	zRaH	akfzRaH
123	akra	kraH	akraH
125	akrama	maH	akramaH
126	akrAnta	tA	akrAntA
127	akriya	yA	akriyA
128	akrUra	raH	akrUraH
129	akroDa	DaH	akroDaH
130	akroDana	naH	akroDanaH
135	aklIba	bam	aklIbam
136	akleSa	Sam	akleSam
138	akzaH	kzam	akzam
145	akzata	taH	akzataH
145	akzata	tam	akzatam
148	akzama	mA	akzamA
149	akzaya	yaH	akzayaH
149	akzaya	yA	akzayA
153	akzara	raH	akzaraH
153	akzara	rA	akzarA
153	akzara	ram	akzaram
160	akzAra	raH	akzAraH
164	akzita	tama	akzitam
166	akziti	tiH	akzitiH
168	akzivaH	vam	akzivam
170	akzIva	vaH	akzIvaH
170	akzIva	vam	akzIvam
173	akzudra	draH	akzudraH
176	akzetra	tram	akzetram
180	akzoBa	BaH	akzoBaH
181	akzoBya	ByaH	akzoByaH
184	akzRa	kzRam	akzRam
190	aKaRqa	Rqam	aKaRqam
191	aKaRqana	nam	aKaRqanam
191	aKaRqana	naH	aKaRqanaH
195	aKAta	taH	aKAtaH
195	aKAta	tam	aKAtam
206	aga	gaH	agaH
207	agacCa	cCaH	agacCaH
212	agada	daH	agadaH
212	agada	rAjaH	agadarAjaH
226	agADa	DaH	agADaH
226	agADa	Dam	agADam
226	agADa	DaH	agADaH
229	agu	guH	aguH
230	aguRa	RaH	aguRaH
230	aguRa	Ram	aguRam
231	aguru	ru	aguru
236	agocara	rama	agocaram
255	agra	graH	agraH
255	agra	gram	agram
257	agrima	maH	agrimaH
257	agrima	mA	agrimA
258	agriya	yaH	agriyaH
258	agriya	yam	agriyam
261	agrya	gryaH	agryaH
261	agrya	gryam	agryam
261	agrya	gryA	agryA
265	agrAhya	hyA	agrAhyA
268	aGa	Gam	aGam
268	aGa	GaH	aGaH
268	aGa	GA	aGA
269	aGana	mAnam	aGanamAnam
275	aGora	raH	aGoraH
275	aGora	rA	aGorA
276	aGoza	zaH	aGozaH
278	aGnya	GnyaH	aGnyaH
278	aGnya	GnyA	aGnyA
279	aGreya	yam	aGreyam
284	aNkin	nI	aNkinI
285	aNkya	kyaH	aNkyaH
286	aNkatiH	tiH	aNkatiH
286	aNkatiH	tI	aNkatI
294	aNkuSaH	SI	aNkuSI
305	aNgam	NgaH	aNgaH
313	aNgadam	dA	aNgadA
313	aNgadam	daH	aNgadaH
319	aNgAraH	ra	aNgAra
319	aNgAraH	ram	aNgAram
320	aNgArakaH	kam	aNgArakam
325	aNgArita	taH	aNgAritaH
325	aNgArita	tam	aNgAritam
325	aNgArita	tA	aNgAritA
353	ac	c	ac
356	acaRqa	RqI	acaRqI
360	acala	laH	acalaH
360	acala	lA	acalA
360	acala	lam	acalam
361	acApala	lam	acApalam
361	acApala	lyam	acApalyam
366	acintya	ntyaH	acintyaH
369	acira	rama	aciram
379	acCa	cCaH	acCaH
382	acCAvAkIya	yam	acCAvAkIyam
385	acCidra	dram	acCidram
392	acyuta	taH	acyutaH
394	aja	jaH	ajaH
396	ajanam	naH	ajanaH
402	ajagam	gaH	ajagaH
407	ajaqa	qA	ajaqA
409	ajana	naH	ajanaH
414	ajanya	nyam	ajanyam
415	ajapaH	pA	ajapA
416	ajamBa	BaH	ajamBaH
417	ajaya	yaH	ajayaH
417	ajaya	yA	ajayA
419	ajara	raH	ajaraH
421	ajarya	ryama	ajaryam
425	ajasra	sram	ajasram
430	ajAgara	raH	ajAgaraH
433	ajAti	tiH	ajAtiH
437	ajAneya	yaH	ajAneyaH
440	aji	jiH	ajiH
441	ajita	taH	ajitaH
443	ajiraH	raH	ajiraH
443	ajiraH	ram	ajiram
443	ajiraH	rA	ajirA
443	ajiraH	raH	ajiraH
445	ajihma	hmaH	ajihmaH
451	ajIrRa	rRam	ajIrRam
451	ajIrRa	rRiH	ajIrRiH
452	ajIva	vaH	ajIvaH
453	ajIvana	nam	ajIvanam
457	ajeya	yam	ajeyam
467	ajYAna	nam	ajYAnam
467	ajYAna	parIkzA	ajYAnaparIkzA
472	ajra	jraH	ajraH
472	ajra	jra	ajra
479	aYjanaH	nam	aYjanam
481	aYjanakaH	kI	aYjanakI
488	aYjalikA	kaH	aYjalikaH
488	aYjalikA	veDa	aYjalikAveDa
493	aYji	YjiH	aYjiH
493	aYji	YjiH	aYjiH
493	aYji	YjI	aYjI
498	akta	ktA	aktA
511	awwa	wwaH	awwaH
511	awwa	wwam	awwam
511	awwa	wwam	awwam
514	awwanam	nam	awwanam
528	aRaka	kaH	aRakaH
531	aRu	RuH	aRuH
531	aRu	Ru	aRu
533	aRuka	kaH	aRukaH
542	aRqakaH	kam	aRqakam
547	atanam	naH	atanaH
549	atawa	waH	atawaH
553	atantra	tvam	atantratvam
556	atapa	pAH	atapAH
559	atarka	rkaH	atarkaH
560	atarkita	tam	atarkitam
562	atala	lam	atalam
562	atala	laH	atalaH
570	atikaTA	Ta	atikaTa
576	atikAya	yaH	atikAyaH
577	atikfcCra	cCram	atikfcCram
577	atikfcCra	cCraH	atikfcCraH
584	atikrAnta	tam	atikrAntam
589	atikrudDa	dDaH	atikrudDaH
590	atikrUra	raH	atikrUraH
591	atikzipta	ptam	atikziptam
596	atiganDa	nDaH	atiganDaH
601	atiguRa	RaH	atiguRaH
602	atiguru	ruH	atiguruH
